z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,province,year,split
-1.2668355,-0.85976255,0.109029785,1.6168675,-0.9913717,-0.282076,-1.8495762,0.3295189,0.6326948,2.43871,10 Independencia,2018,train
-0.8214687,0.59860367,1.2271233,-0.30736333,-0.6635942,-1.3400002,-0.7438394,-0.29486367,0.5643903,0.25504723,10 Independencia,2019,train
0.7252144,0.4229377,0.5669813,0.6811341,-0.9040765,-1.0282336,-0.19859308,0.59743226,0.9037624,1.5243244,10 Independencia,2020,val
-0.07199454,-0.21617615,0.44619748,0.6611707,-1.1212732,-1.3982279,-0.72355247,0.011974174,0.09405096,0.9745897,10 Independencia,2021,val
-0.2825668,-0.22559176,0.4056739,0.14576095,-2.1958034,-1.9424314,-0.16921279,0.038786355,0.31825897,0.99684364,10 Independencia,2022,test
-0.037373673,0.22233172,1.3161185,0.15223227,-1.05116,-1.518361,-0.74762,0.06527663,0.06581716,0.74036723,10 Independencia,2023,test
-0.18976761,0.90478164,1.1805234,-0.9768756,1.1187183,1.1424415,-0.67402416,0.122658335,0.05186924,1.3427367,11 La Altagracia,2015,train
1.288481,0.90269774,0.93578523,-1.8081774,-0.1323701,1.4642203,-0.6008771,-0.027145918,0.10527791,1.265166,11 La Altagracia,2016,train
1.6915286,-0.5541398,1.0652642,0.13712002,0.3486879,1.60261,-0.524317,1.7220796,-0.5519112,1.2213601,11 La Altagracia,2017,train
-0.12906827,-0.32930437,-0.3568685,-1.4531437,0.03252808,0.4273858,-0.7076814,1.624933,-0.28833756,1.806708,11 La Altagracia,2018,train
0.3770887,0.29729018,1.5101471,-1.5135946,0.6790181,0.78659487,-1.2823013,1.0761598,-0.4447234,0.17989941,11 La Altagracia,2019,train
1.3863056,0.36433625,1.1429609,-0.928197,-0.075459905,1.0344467,-0.5470765,0.7226266,-0.04024722,1.0550278,11 La Altagracia,2020,val
0.14981957,-0.21148546,0.6114856,-0.6947662,-0.0146081215,0.7260021,-1.1095581,0.05690582,-0.5453919,0.9263144,11 La Altagracia,2021,val
0.77975935,-0.020661717,1.2585893,-0.6332237,-0.40859658,1.134844,-0.73801565,0.0033057684,-0.33141539,0.7328327,11 La Altagracia,2022,test
0.7277561,-0.04635165,1.3306794,-0.8878515,0.0361229,0.19768329,-1.1699708,0.6294267,-0.9999063,0.4549497,11 La Altagracia,2023,test
-0.4985245,0.790043,0.9358523,-0.14022307,0.8508098,0.08451423,-0.42586407,-0.22004439,0.11886345,1.0710988,12 La Romana,2015,train
1.0600402,0.9142465,0.38463813,-0.68293965,-0.12545231,0.68808985,0.30062565,0.1193607,0.7063918,1.6153071,12 La Romana,2016,train
1.6050259,-0.89094687,-0.105826624,0.5310643,-0.80676764,0.5668416,0.32161048,0.9625797,-1.0715232,1.954561,12 La Romana,2017,train
-0.5685455,-0.78949165,-0.5746569,-0.6006796,-0.4155893,-0.3634126,-1.1768614,0.44977537,-1.0773926,1.5566815,12 La Romana,2018,train
-0.15432192,0.2967126,1.1178337,-0.9583681,0.5045602,-0.09710393,-0.5827937,0.27802685,-0.72591853,0.08211305,12 La Romana,2019,train
1.0998496,0.42947257,1.0144815,-0.14891042,-0.19312489,0.38904566,0.059775118,-0.10740332,-0.26006097,0.9682391,12 La Romana,2020,val
0.012269846,-0.14032963,0.16653998,-0.06065394,-0.059297014,-0.20743538,-0.42235193,-0.2619792,-0.67845994,1.0297074,12 La Romana,2021,val
0.57116586,0.046155397,0.6536134,-0.2340528,-0.6634181,0.14095011,-0.022472823,-0.49518108,-0.4604389,0.8451736,12 La Romana,2022,test
0.5212946,-0.0517648,1.0647936,-0.4230356,-0.13657764,-0.4158555,-0.5550273,0.23210078,-1.1465591,0.61216176,12 La Romana,2023,test
-0.7593104,0.13344206,0.52441984,1.2259519,1.1130646,1.0390148,0.57592136,-0.042746373,0.64031965,-1.2363178,13 La Vega,2015,train
0.728653,0.28326243,-0.015877077,0.77596486,-0.460272,1.4308736,1.2957239,-0.7002669,1.2468435,-1.0175375,13 La Vega,2016,train
0.51094323,-0.6739595,-0.7836788,0.7017257,-0.13806416,0.86235553,0.9229101,-0.22109146,-0.2750528,-1.3154305,13 La Vega,2017,train
-0.97611135,-0.8388852,-1.6466566,0.25818783,0.2219898,0.17400877,0.54230946,0.203074,-0.36336827,-0.6892872,13 La Vega,2018,train
-0.56111455,-0.11625237,-0.52415735,-0.05469781,0.5507619,-0.054662175,0.20819448,0.45243004,0.21517214,-1.3996491,13 La Vega,2019,train
0.9531212,-0.22923161,-0.6334389,0.52893597,0.10665597,0.8397192,1.0677567,0.31355292,0.26638997,-1.0684762,13 La Vega,2020,val
0.06382308,-0.72068226,-1.2542872,0.95083743,0.22948457,0.7630018,0.69268817,0.33975208,0.023272295,-0.6626028,13 La Vega,2021,val
0.36362514,-0.6848691,-0.37464103,0.9990353,-0.42579758,0.71754795,0.85517746,-0.3496624,0.013828981,-1.3986989,13 La Vega,2022,test
0.2915182,-0.62257653,-0.263526,0.6763488,-0.07825695,-0.5512189,0.1696373,0.29708025,-0.5731002,-1.4720433,13 La Vega,2023,test
0.118881665,0.60203767,0.31128863,0.041201267,1.5215757,0.6829736,0.22940275,0.2597801,-0.06876363,-0.04881255,14 María Trinidad Sánchez,2015,train
1.2414721,0.7500268,-0.16500042,-0.5288086,0.5051664,0.9857313,0.86866385,-0.18972696,0.25243425,0.06900327,14 María Trinidad Sánchez,2016,train
2.3255644,-0.77244,-0.60689074,-0.17310187,-0.018323284,0.48810184,0.5448928,1.4174209,-1.4421552,-0.2368318,14 María Trinidad Sánchez,2017,train
-0.09630884,-0.6039583,-1.9024462,-1.1233591,0.29618806,0.027994115,-0.30151924,0.5407118,-1.2474121,0.44074726,14 María Trinidad Sánchez,2018,train
0.45113385,0.27199194,0.094792224,-0.9424018,0.9486529,0.24507082,-0.10303257,0.5240744,-0.6436625,-0.5923428,14 María Trinidad Sánchez,2019,train
1.3078867,0.36339357,-0.36620373,-0.5178788,0.4896789,0.6870087,0.46644711,-0.07984988,-0.4324738,-0.047777418,14 María Trinidad Sánchez,2020,val
0.55082345,-0.38875198,-1.2282672,-0.41834593,0.062300656,-0.09734931,0.11240628,-0.061176717,-1.091705,0.0886376,14 María Trinidad Sánchez,2021,val
0.86135745,-0.36876804,-0.2815231,0.16146103,0.33707651,0.37923187,0.25822437,0.04794335,-1.0629328,-0.44717735,14 María Trinidad Sánchez,2022,test
0.8319665,-0.31576672,-0.099213295,-0.021744024,0.42908838,-0.30061278,-0.059483167,0.4306972,-1.2925644,-0.47475076,14 María Trinidad Sánchez,2023,test
-0.8696085,0.69959116,2.7557704,0.17644711,0.74396056,0.42041913,-0.20373803,-0.2341863,-0.6963815,1.6069793,15 Monte Cristi,2015,train
0.58214074,1.1744847,2.3247979,-0.21097729,-0.45505688,0.80657107,0.58537596,-0.5162106,0.22565286,1.9705343,15 Monte Cristi,2016,train
0.709947,-0.46946722,1.8288226,-0.17463219,-0.64291555,-0.20428261,0.11900779,0.83481157,-1.893015,1.291707,15 Monte Cristi,2017,train
