z1,z2,z3,z4,z5,z6,z7,province,year,split
0.13826527,-0.3166028,0.12559202,-0.6905034,1.6708579,-0.2688054,-0.44455543,11 La Altagracia,2015,train
1.7665136,0.9732857,2.5597467,-0.6607567,1.1219665,0.747429,-0.14726779,11 La Altagracia,2016,train
1.0804905,2.464013,1.5781333,-1.6372951,0.80951023,-0.41115284,1.1556257,11 La Altagracia,2017,train
1.6998981,0.9075534,0.6443115,-1.0612789,1.8051256,-1.5035235,1.0900816,11 La Altagracia,2018,train
1.0515908,1.1568043,0.06091793,-0.35910046,0.91940147,-0.59099513,-0.6664825,11 La Altagracia,2019,train
1.2581252,1.598508,1.7140843,-0.6694098,1.1250085,0.3180119,0.2804226,11 La Altagracia,2020,val
1.0903693,1.2799201,0.69905686,-0.8063641,1.0444866,-0.562321,0.49942935,11 La Altagracia,2021,val
0.9886688,1.6320908,0.89186025,-0.8830519,0.8961242,-0.26341823,0.30115986,11 La Altagracia,2022,test
0.56233746,1.3797525,0.29430664,-0.45719546,0.9634841,0.004283818,-0.2084519,11 La Altagracia,2023,test
-0.48916987,-0.30713305,-0.16952987,0.026786027,1.4931097,-0.3044563,-0.21406622,12 La Romana,2015,train
1.0370642,0.43850043,1.9864688,0.12264893,1.0324929,0.9376989,-0.113251664,12 La Romana,2016,train
0.7704456,2.872533,1.6756194,-1.9568154,0.3686361,-0.4214792,2.7394426,12 La Romana,2017,train
1.0484245,0.5252543,0.27502963,-0.73646086,1.594113,-1.3564807,1.5755537,12 La Romana,2018,train
0.5283182,0.7785236,-0.073281996,-0.14451672,0.6382208,-0.27892888,-0.3400832,12 La Romana,2019,train
0.41300213,0.8005563,1.2709813,-0.11273943,0.8018456,0.5942296,0.22223626,12 La Romana,2020,val
0.3881408,0.6597333,0.33003366,-0.433102,0.7740519,-0.297338,0.6589416,12 La Romana,2021,val
0.4250872,1.0340927,0.6484407,-0.49797505,0.524117,-0.029843744,0.47923172,12 La Romana,2022,test
0.07619764,0.9405785,0.18081862,-0.29740688,0.69327116,0.17818515,0.052347787,12 La Romana,2023,test
-1.0018598,-2.0466897,-0.4260652,0.4774225,-0.992565,0.3480083,-0.5354932,13 La Vega,2015,train
0.29403132,-0.81436914,1.3372982,0.6212246,-2.28049,0.9248854,-0.36034787,13 La Vega,2016,train
-0.26247144,-0.026611604,0.803537,-0.8637248,-2.365885,-0.15666978,-0.16340312,13 La Vega,2017,train
0.29039565,-1.2301322,0.32318273,-0.27414447,-1.7114016,-1.8135526,0.38589624,13 La Vega,2018,train
