year,week,nino34_anom,oni_index,soi_index
2018,21,0.16,0.0,0.6
2018,21,0.16,0.0,0.4
2018,22,0.16,0.0,0.6
2018,22,0.16,0.0,0.4
2018,23,0.24,0.0,-0.2
2018,23,0.24,0.0,-0.1
2018,24,0.24,0.0,-0.2
2018,24,0.24,0.0,-0.1
2018,25,0.24,0.0,-0.2
2018,25,0.24,0.0,-0.1
2018,26,0.24,0.0,-0.2
2018,26,0.24,0.0,-0.1
2018,27,0.23,0.0,0.4
2018,27,0.23,0.0,0.2
2018,28,0.23,0.0,0.4
2018,28,0.23,0.0,0.2
2018,29,0.23,0.0,0.4
2018,29,0.23,0.0,0.2
2018,30,0.23,0.0,0.4
2018,30,0.23,0.0,0.2
2018,31,0.23,0.0,0.4
2018,31,0.23,0.0,0.2
2018,32,0.45,0.0,-0.5
2018,32,0.45,0.0,-0.3
2018,33,0.45,0.0,-0.5
2018,33,0.45,0.0,-0.3
2018,34,0.45,0.0,-0.5
2018,34,0.45,0.0,-0.3
2018,35,0.45,0.0,-0.5
2018,35,0.45,0.0,-0.3
2018,36,0.58,0.0,-1.5
2018,36,0.58,0.0,-0.9
2018,37,0.58,0.0,-1.5
2018,37,0.58,0.0,-0.9
2018,38,0.58,0.0,-1.5
2018,38,0.58,0.0,-0.9
2018,39,0.58,0.0,-1.5
2018,39,0.58,0.0,-0.9
2018,40,0.95,0.0,0.6
2018,40,0.95,0.0,0.4
2018,41,0.95,0.0,0.6
2018,41,0.95,0.0,0.4
2018,42,0.95,0.0,0.6
2018,42,0.95,0.0,0.4
2018,43,0.95,0.0,0.6
2018,43,0.95,0.0,0.4
2018,44,0.95,0.0,0.6
2018,44,0.95,0.0,0.4
2018,45,0.92,0.0,-0.1
2018,45,0.92,0.0,-0.1
2018,46,0.92,0.0,-0.1
2018,46,0.92,0.0,-0.1
2018,47,0.92,0.0,-0.1
2018,47,0.92,0.0,-0.1
2018,48,0.92,0.0,-0.1
2018,48,0.92,0.0,-0.1
2018,49,0.91,0.0,1.7
2018,49,0.91,0.0,1.0
2018,50,0.91,0.0,1.7
2018,50,0.91,0.0,1.0
2018,51,0.91,0.0,1.7
2018,51,0.91,0.0,1.0
2018,52,0.91,0.0,1.7
2018,52,0.91,0.0,1.0
2019,1,0.76,0.0,-0.1
2019,1,0.76,0.0,-0.0
2019,2,0.76,0.0,-0.1
2019,2,0.76,0.0,-0.0
2019,3,0.76,0.0,-0.1
2019,3,0.76,0.0,-0.0
2019,4,0.76,0.0,-0.1
2019,4,0.76,0.0,-0.0
2019,5,0.76,0.0,-0.1
2019,5,0.76,0.0,-0.0
2019,6,0.71,0.0,-2.3
2019,6,0.71,0.0,-1.4
2019,7,0.71,0.0,-2.3
2019,7,0.71,0.0,-1.4
2019,8,0.71,0.0,-2.3
2019,8,0.71,0.0,-1.4
2019,9,0.71,0.0,-2.3
2019,9,0.71,0.0,-1.4
2019,10,0.64,0.0,-0.5
2019,10,0.64,0.0,-0.3
2019,11,0.64,0.0,-0.5
2019,11,0.64,0.0,-0.3
2019,12,0.64,0.0,-0.5
2019,12,0.64,0.0,-0.3
2019,13,0.64,0.0,-0.5
2019,13,0.64,0.0,-0.3
2019,14,0.52,0.0,0.2
2019,14,0.52,0.0,0.1
2019,15,0.52,0.0,0.2
2019,15,0.52,0.0,0.1
2019,16,0.52,0.0,0.2
2019,16,0.52,0.0,0.1
2019,17,0.52,0.0,0.2
2019,17,0.52,0.0,0.1
2019,18,0.52,0.0,0.2
2019,18,0.52,0.0,0.1
2019,19,0.54,0.0,-0.7
2019,19,0.54,0.0,-0.4
2019,20,0.54,0.0,-0.7
2019,20,0.54,0.0,-0.4
2019,21,0.54,0.0,-0.7
2019,21,0.54,0.0,-0.4
2019,22,0.54,0.0,-0.7
2019,22,0.54,0.0,-0.4
2019,23,0.61,0.0,-0.7
2019,23,0.61,0.0,-0.5
2019,24,0.61,0.0,-0.7
2019,24,0.61,0.0,-0.5
2019,25,0.61,0.0,-0.7
2019,25,0.61,0.0,-0.5
2019,26,0.61,0.0,-0.7
2019,26,0.61,0.0,-0.5
2019,27,0.76,0.0,-0.6
2019,27,0.76,0.0,-0.4
2019,28,0.76,0.0,-0.6
2019,28,0.76,0.0,-0.4
2019,29,0.76,0.0,-0.6
2019,29,0.76,0.0,-0.4
2019,30,0.76,0.0,-0.6
2019,30,0.76,0.0,-0.4
2019,31,0.76,0.0,-0.6
2019,31,0.76,0.0,-0.4
2019,32,0.65,0.0,-0.2
2019,32,0.65,0.0,-0.1
2019,33,0.65,0.0,-0.2
2019,33,0.65,0.0,-0.1
2019,34,0.65,0.0,-0.2
2019,34,0.65,0.0,-0.1
2019,35,0.65,0.0,-0.2
2019,35,0.65,0.0,-0.1
2019,36,0.58,0.0,-1.9
2019,36,0.58,0.0,-1.2
2019,37,0.58,0.0,-1.9
2019,37,0.58,0.0,-1.2
2019,38,0.58,0.0,-1.9
2019,38,0.58,0.0,-1.2
2019,39,0.58,0.0,-1.9
2019,39,0.58,0.0,-1.2
2019,40,0.75,0.0,-0.6
2019,40,0.75,0.0,-0.4
2019,41,0.75,0.0,-0.6
2019,41,0.75,0.0,-0.4
2019,42,0.75,0.0,-0.6
2019,42,0.75,0.0,-0.4
2019,43,0.75,0.0,-0.6
2019,43,0.75,0.0,-0.4
2019,44,0.75,0.0,-0.6
2019,44,0.75,0.0,-0.4
2019,45,0.76,0.0,-1.4
2019,45,0.76,0.0,-0.8
2019,46,0.76,0.0,-1.4
2019,46,0.76,0.0,-0.8
2019,47,0.76,0.0,-1.4
2019,47,0.76,0.0,-0.8
2019,48,0.76,0.0,-1.4
2019,48,0.76,0.0,-0.8
2019,49,0.87,0.0,-0.9
2019,49,0.87,0.0,-0.6
2019,50,0.87,0.0,-0.9
2019,50,0.87,0.0,-0.6
2019,51,0.87,0.0,-0.9
2019,51,0.87,0.0,-0.6
2019,52,0.87,0.0,-0.9
2019,52,0.87,0.0,-0.6
2020,1,0.85,0.0,0.3
2020,1,0.85,0.0,0.2
2020,2,0.85,0.0,0.3
2020,2,0.85,0.0,0.2
2020,3,0.85,0.0,0.3
2020,3,0.85,0.0,0.2
2020,4,0.85,0.0,0.3
2020,4,0.85,0.0,0.2
2020,5,0.85,0.0,0.3
2020,5,0.85,0.0,0.2
2020,6,0.78,0.0,-0.1
2020,6,0.78,0.0,-0.1
2020,7,0.78,0.0,-0.1
2020,7,0.78,0.0,-0.1
2020,8,0.78,0.0,-0.1
2020,8,0.78,0.0,-0.1
2020,9,0.78,0.0,-0.1
2020,9,0.78,0.0,-0.1
2020,10,0.75,0.0,-0.2
2020,10,0.75,0.0,-0.1
2020,11,0.75,0.0,-0.2
2020,11,0.75,0.0,-0.1
2020,12,0.75,0.0,-0.2
2020,12,0.75,0.0,-0.1
2020,13,0.75,0.0,-0.2
2020,13,0.75,0.0,-0.1
2020,14,0.52,0.0,0.3
2020,14,0.52,0.0,0.2
2020,15,0.52,0.0,0.3
2020,15,0.52,0.0,0.2
2020,16,0.52,0.0,0.3
2020,16,0.52,0.0,0.2
2020,17,0.52,0.0,0.3
2020,17,0.52,0.0,0.2
2020,18,0.52,0.0,0.3
2020,18,0.52,0.0,0.2
2020,19,0.09,0.0,0.7
2020,19,0.09,0.0,0.4
2020,20,0.09,0.0,0.7
2020,20,0.09,0.0,0.4
2020,21,0.09,0.0,0.7
2020,21,0.09,0.0,0.4
2020,22,0.09,0.0,0.7
2020,22,0.09,0.0,0.4
2020,23,0.12,0.0,-0.6
2020,23,0.12,0.0,-0.4
2020,24,0.12,0.0,-0.6
2020,24,0.12,0.0,-0.4
2020,25,0.12,0.0,-0.6
2020,25,0.12,0.0,-0.4
2020,26,0.12,0.0,-0.6
2020,26,0.12,0.0,-0.4
2020,27,-0.01,0.0,0.7
2020,27,-0.01,0.0,0.4
2020,28,-0.01,0.0,0.7
2020,28,-0.01,0.0,0.4
2020,29,-0.01,0.0,0.7
2020,29,-0.01,0.0,0.4
2020,30,-0.01,0.0,0.7
2020,30,-0.01,0.0,0.4
2020,31,-0.01,0.0,0.7
2020,31,-0.01,0.0,0.4
2020,32,-0.31,0.0,1.8
2020,32,-0.31,0.0,1.1
2020,33,-0.31,0.0,1.8
2020,33,-0.31,0.0,1.1
2020,34,-0.31,0.0,1.8
2020,34,-0.31,0.0,1.1
2020,35,-0.31,0.0,1.8
2020,35,-0.31,0.0,1.1
2020,36,-0.55,0.0,1.5
2020,36,-0.55,0.0,0.9
2020,37,-0.55,0.0,1.5
2020,37,-0.55,0.0,0.9
2020,38,-0.55,0.0,1.5
2020,38,-0.55,0.0,0.9
2020,39,-0.55,0.0,1.5
2020,39,-0.55,0.0,0.9
2020,40,-0.8,0.0,0.8
2020,40,-0.8,0.0,0.5
2020,41,-0.8,0.0,0.8
2020,41,-0.8,0.0,0.5
2020,42,-0.8,0.0,0.8
2020,42,-0.8,0.0,0.5
2020,43,-0.8,0.0,0.8
2020,43,-0.8,0.0,0.5
2020,44,-0.8,0.0,0.8
2020,44,-0.8,0.0,0.5
2020,45,-0.9,0.0,1.1
2020,45,-0.9,0.0,0.7
2020,46,-0.9,0.0,1.1
2020,46,-0.9,0.0,0.7
2020,47,-0.9,0.0,1.1
2020,47,-0.9,0.0,0.7
2020,48,-0.9,0.0,1.1
2020,48,-0.9,0.0,0.7
2020,49,-1.0,0.0,3.0
2020,49,-1.0,0.0,1.8
2020,50,-1.0,0.0,3.0
2020,50,-1.0,0.0,1.8
2020,51,-1.0,0.0,3.0
2020,51,-1.0,0.0,1.8
2020,52,-1.0,0.0,3.0
2020,52,-1.0,0.0,1.8
2021,1,-1.05,0.0,3.2
2021,1,-1.05,0.0,1.9
2021,2,-1.05,0.0,3.2
2021,2,-1.05,0.0,1.9
2021,3,-1.05,0.0,3.2
2021,3,-1.05,0.0,1.9
2021,4,-1.05,0.0,3.2
2021,4,-1.05,0.0,1.9
2021,5,-1.05,0.0,3.2
2021,5,-1.05,0.0,1.9
2021,6,-0.96,0.0,2.5
2021,6,-0.96,0.0,1.5
2021,7,-0.96,0.0,2.5
2021,7,-0.96,0.0,1.5
2021,8,-0.96,0.0,2.5
2021,8,-0.96,0.0,1.5
2021,9,-0.96,0.0,2.5
2021,9,-0.96,0.0,1.5
2021,10,-0.65,0.0,0.6
2021,10,-0.65,0.0,0.4
2021,11,-0.65,0.0,0.6
2021,11,-0.65,0.0,0.4
2021,12,-0.65,0.0,0.6
2021,12,-0.65,0.0,0.4
2021,13,-0.65,0.0,0.6
2021,13,-0.65,0.0,0.4
2021,14,-0.43,0.0,0.6
2021,14,-0.43,0.0,0.3
2021,15,-0.43,0.0,0.6
2021,15,-0.43,0.0,0.3
2021,16,-0.43,0.0,0.6
2021,16,-0.43,0.0,0.3
2021,17,-0.43,0.0,0.6
2021,17,-0.43,0.0,0.3
2021,18,-0.43,0.0,0.6
2021,18,-0.43,0.0,0.3
2021,19,-0.21,0.0,0.8
2021,19,-0.21,0.0,0.5
2021,20,-0.21,0.0,0.8
2021,20,-0.21,0.0,0.5
2021,21,-0.21,0.0,0.8
2021,21,-0.21,0.0,0.5
2021,22,-0.21,0.0,0.8
2021,22,-0.21,0.0,0.5
2021,23,-0.14,0.0,0.7
2021,23,-0.14,0.0,0.4
2021,24,-0.14,0.0,0.7
2021,24,-0.14,0.0,0.4
2021,25,-0.14,0.0,0.7
2021,25,-0.14,0.0,0.4
2021,26,-0.14,0.0,0.7
2021,26,-0.14,0.0,0.4
