year,week,tna_sst_anom,caribbean_sst_anom
2023,10,0.64,0.0
2023,11,0.64,0.0
2023,12,0.64,0.0
2023,13,0.64,0.0
2023,14,0.78,0.0
2023,15,0.78,0.0
2023,16,0.78,0.0
2023,17,0.78,0.0
2023,18,0.78,0.0
2023,19,1.04,0.0
2023,20,1.04,0.0
2023,21,1.04,0.0
2023,22,1.04,0.0
2023,23,1.41,0.0
2023,24,1.41,0.0
2023,25,1.41,0.0
2023,26,1.41,0.0
2023,27,1.41,0.0
2023,28,1.41,0.0
2023,29,1.41,0.0
2023,30,1.41,0.0
2023,31,1.41,0.0
2023,32,1.36,0.0
2023,33,1.36,0.0
2023,34,1.36,0.0
2023,35,1.36,0.0
2023,36,1.43,0.0
2023,37,1.43,0.0
2023,38,1.43,0.0
2023,39,1.43,0.0
2023,40,1.32,0.0
2023,41,1.32,0.0
2023,42,1.32,0.0
2023,43,1.32,0.0
2023,44,1.32,0.0
2023,45,1.09,0.0
2023,46,1.09,0.0
2023,47,1.09,0.0
2023,48,1.09,0.0
2023,49,1.17,0.0
2023,50,1.17,0.0
2023,51,1.17,0.0
2023,52,1.17,0.0
