province,year,week,neighbor_incidence_lag0,neighbor_incidence_lag1,neighbor_incidence_lag2,n_neighbors
09 Espaillat,2015,15,1.3138131616248143,1.5235277167377672,1.376616200530246,20
09 Espaillat,2015,16,1.4759088427981975,1.3138131616248143,1.5235277167377672,20
09 Espaillat,2015,17,1.4909093198654275,1.4759088427981975,1.3138131616248143,20
09 Espaillat,2015,18,1.7049681088856263,1.4909093198654275,1.4759088427981975,20
09 Espaillat,2015,19,1.4958692989130493,1.7049681088856263,1.4909093198654275,20
09 Espaillat,2015,20,1.749896461783515,1.4958692989130493,1.7049681088856263,20
09 Espaillat,2015,21,1.4400363608477287,1.749896461783515,1.4958692989130493,20
09 Espaillat,2015,22,1.827921379738186,1.4400363608477287,1.749896461783515,20
09 Espaillat,2015,23,2.0733724555415622,1.827921379738186,1.4400363608477287,20
09 Espaillat,2015,24,2.3881008624492046,2.0733724555415622,1.827921379738186,20
09 Espaillat,2015,25,1.9894194429930165,2.3881008624492046,2.0733724555415622,20
09 Espaillat,2015,26,2.4325336239896167,1.9894194429930165,2.3881008624492046,20
09 Espaillat,2015,27,2.9514673889012646,2.4325336239896167,1.9894194429930165,20
09 Espaillat,2015,28,3.9009088736197834,2.9514673889012646,2.4325336239896167,20
09 Espaillat,2015,29,4.362109656741018,3.9009088736197834,2.9514673889012646,20
09 Espaillat,2015,30,3.52545011322876,4.362109656741018,3.9009088736197834,20
09 Espaillat,2015,31,5.246354557852321,3.52545011322876,4.362109656741018,20
09 Espaillat,2015,32,4.668489506292006,5.246354557852321,3.52545011322876,20
09 Espaillat,2015,33,6.06680336537325,4.668489506292006,5.246354557852321,20
09 Espaillat,2015,34,5.610634815195581,6.06680336537325,4.668489506292006,20
09 Espaillat,2015,35,5.2465129447057794,5.610634815195581,6.06680336537325,20
09 Espaillat,2015,36,6.794187404085542,5.2465129447057794,5.610634815195581,20
09 Espaillat,2015,37,7.511060736001054,6.794187404085542,5.2465129447057794,20
09 Espaillat,2015,38,9.105402634179747,7.511060736001054,6.794187404085542,20
09 Espaillat,2015,39,9.228502529076813,9.105402634179747,7.511060736001054,20
09 Espaillat,2015,40,12.119008498444764,9.228502529076813,9.105402634179747,20
09 Espaillat,2015,41,11.045325628994703,12.119008498444764,9.228502529076813,20
09 Espaillat,2015,42,11.585587183032318,11.045325628994703,12.119008498444764,20
09 Espaillat,2015,43,14.092918835674054,11.585587183032318,11.045325628994703,20
09 Espaillat,2015,44,9.825206760542208,14.092918835674054,11.585587183032318,20
09 Espaillat,2015,45,11.194412007515222,9.825206760542208,14.092918835674054,20
09 Espaillat,2015,46,9.367448174908494,11.194412007515222,9.825206760542208,20
09 Espaillat,2015,47,7.6452495463022405,9.367448174908494,11.194412007515222,20
09 Espaillat,2015,48,6.120295145154989,7.6452495463022405,9.367448174908494,20
09 Espaillat,2015,49,5.238037989755503,6.120295145154989,7.6452495463022405,20
09 Espaillat,2015,50,3.6204883079996284,5.238037989755503,6.120295145154989,20
09 Espaillat,2015,51,3.7159462525438585,3.6204883079996284,5.238037989755503,20
09 Espaillat,2015,52,5.27993311853476,3.7159462525438585,3.6204883079996284,20
09 Espaillat,2016,1,5.953678161044495,5.27993311853476,3.7159462525438585,20
09 Espaillat,2016,2,5.150493792223584,5.953678161044495,5.27993311853476,20
09 Espaillat,2016,3,4.194886722395433,5.150493792223584,5.953678161044495,20
09 Espaillat,2016,4,4.495339845588752,4.194886722395433,5.150493792223584,20
09 Espaillat,2016,5,5.330469885682964,4.495339845588752,4.194886722395433,20
09 Espaillat,2016,6,3.377972573254172,5.330469885682964,4.495339845588752,20
09 Espaillat,2016,7,3.8021202002947687,3.377972573254172,5.330469885682964,20
09 Espaillat,2016,8,2.361021052570197,3.8021202002947687,3.377972573254172,20
09 Espaillat,2016,9,2.555729550650242,2.361021052570197,3.8021202002947687,20
09 Espaillat,2016,10,2.1774292247279052,2.555729550650242,2.361021052570197,20
09 Espaillat,2016,11,2.026465734610637,2.1774292247279052,2.555729550650242,20
09 Espaillat,2016,12,2.0336705544377445,2.026465734610637,2.1774292247279052,20
09 Espaillat,2016,13,2.5610357257009806,2.0336705544377445,2.026465734610637,20
09 Espaillat,2016,14,2.214970660215754,2.5610357257009806,2.0336705544377445,20
09 Espaillat,2016,15,2.523911814047354,2.214970660215754,2.5610357257009806,20
09 Espaillat,2016,16,2.15501820145254,2.523911814047354,2.214970660215754,20
09 Espaillat,2016,17,1.3134733706525368,2.15501820145254,2.523911814047354,20
