z1,z2,z3,z4,z5,z6,province,year,split
1.4625429,0.7677226,-1.871899,-1.5383905,-0.21515019,2.1826022,15 Monte Cristi,2015,train
3.1397119,1.0568206,-1.7545972,-0.26378793,0.59391594,0.11039663,15 Monte Cristi,2016,train
1.5804529,1.9478354,-1.186161,-0.14270455,-0.81209844,-0.22159679,15 Monte Cristi,2017,train
0.79400915,1.6243075,-2.635995,-0.8447603,0.038406502,0.5838558,15 Monte Cristi,2018,train
1.534874,1.0178034,-0.69450146,-0.4563204,-0.6921621,1.3934665,15 Monte Cristi,2019,train
2.1067212,1.7558486,-1.7779375,-0.040364627,-0.6363364,-0.43411395,15 Monte Cristi,2020,val
0.9814832,1.7820735,-2.4553843,-0.16406333,0.21408282,-0.20920977,15 Monte Cristi,2021,val
0.78455424,-0.7663069,-2.4368954,0.0033941555,-0.2713884,1.1550561,16 Pedernales,2015,train
2.4761143,0.20532314,-0.71126753,1.1938338,-1.4878008,-0.5404688,16 Pedernales,2016,train
0.91851825,1.7212816,-1.4515374,1.8894722,-2.3020346,-0.38582906,16 Pedernales,2017,train
0.16393627,1.0075186,-1.9859922,1.0962774,-1.0674902,0.9289343,16 Pedernales,2018,train
1.1682545,-0.012523583,-0.43171147,1.1385316,-1.9087745,1.0359696,16 Pedernales,2019,train
1.849061,0.5722803,-1.1416527,1.0393004,-0.85739666,-0.42394453,16 Pedernales,2020,val
0.81000775,1.6997901,-1.3991259,1.5969807,-1.5711629,0.44174537,16 Pedernales,2021,val
-0.9771863,-0.18322317,-0.34078917,-0.68423796,0.21046416,1.8501439,17 Peravia,2015,train
1.2742307,0.38016894,1.1602664,-0.1621648,0.24100263,0.11336812,17 Peravia,2016,train
0.1612087,1.5496062,0.021904299,0.7661066,0.6115128,-0.119219,17 Peravia,2017,train
-1.869862,2.345572,-1.7501787,0.16349304,1.3877633,0.41690752,17 Peravia,2018,train
0.057161912,0.40576974,0.39483282,-0.18259034,0.08997204,1.3131113,17 Peravia,2019,train
0.28791073,1.5674114,-0.05173442,0.6786867,0.17337532,-0.89163136,17 Peravia,2020,val
-0.22013676,1.1305232,-0.65525794,0.2611158,1.0536276,0.17913884,17 Peravia,2021,val
