z1,z2,z3,z4,z5,z6,province,year,split
-1.0154964,4.0106897,1.4011765,-0.45455208,-1.3784734,1.8003688,22 San Juan,2017,train
-3.8028297,3.6798935,1.648213,0.74428743,-2.3545294,-1.6778349,22 San Juan,2018,train
-1.339201,1.1076245,2.5157976,-2.4299147,-1.880164,-1.1845727,22 San Juan,2019,train
-0.10093366,3.4342685,2.6100254,-0.8901827,-0.69509387,1.3209026,22 San Juan,2020,val
-3.48565,3.5342932,0.7552887,-1.1709533,-0.37067008,1.8498485,22 San Juan,2021,val
0.34105232,-1.6969106,0.4406195,2.0332165,0.65309304,-0.6183536,23 San Pedro de Macorís,2015,train
4.201441,-1.0860018,0.08658068,0.58718944,0.18598664,0.6882145,23 San Pedro de Macorís,2016,train
1.7990336,0.54481417,-1.7465715,0.94094634,-0.90235615,0.5515572,23 San Pedro de Macorís,2017,train
-0.90598553,-0.035909146,-3.0501976,2.0820723,-0.98947334,-1.2826391,23 San Pedro de Macorís,2018,train
0.704606,-1.3055896,-0.057499383,-0.09255976,-1.0152395,-1.0593228,23 San Pedro de Macorís,2019,train
2.4558866,-0.44314852,-2.0803306,0.31392258,-0.43758732,3.1307137,23 San Pedro de Macorís,2020,val
0.974988,0.30217823,-2.673853,0.9326621,-1.859536,-0.672019,23 San Pedro de Macorís,2021,val
-2.2656558,-0.41695854,2.962869,-0.63627416,2.6635852,-0.75298995,24 Sánchez Ramírez,2015,train
1.3143045,1.8717134,1.7909449,-1.6277113,3.3597736,2.142793,24 Sánchez Ramírez,2016,train
-0.38675666,2.518666,-1.3312309,-2.6851878,1.6589336,0.367523,24 Sánchez Ramírez,2017,train
-4.5166793,1.7460935,-1.4471226,-0.8797167,2.6320212,-0.12036797,24 Sánchez Ramírez,2018,train
-1.2142164,0.08947975,0.90144527,-2.2751675,0.83072877,-1.1399689,24 Sánchez Ramírez,2019,train
0.9989023,1.8840197,-0.28664458,-3.231273,1.3197637,0.82838213,24 Sánchez Ramírez,2020,val
-3.2044437,1.4038107,-2.9206634,-4.1461163,0.5127756,0.36447003,24 Sánchez Ramírez,2021,val
-0.9203149,0.11763088,5.264699,2.116982,1.4193633,-2.4042952,25 Santiago,2015,train
2.6543012,2.7922266,3.9504707,1.5677307,1.5288738,1.0244292,25 Santiago,2016,train
0.22099556,3.042251,-0.33497044,-0.6095154,0.34685656,-1.1597687,25 Santiago,2017,train
-2.8950493,2.9880157,0.3512705,0.7238123,-0.25384545,-4.0615335,25 Santiago,2018,train
-0.82237786,0.6542105,2.3121204,-1.7826566,-1.2116244,-3.1739292,25 Santiago,2019,train
1.6389607,2.6818268,1.982503,-0.22558694,0.9821014,-1.6249013,25 Santiago,2020,val
-0.7048826,3.1748,0.4676738,-0.075034454,0.25706327,-2.7694929,25 Santiago,2021,val
-1.6006032,-0.5699076,5.1884828,2.4273705,-1.2279474,-0.015626088,26 Santiago Rodríguez,2015,train
2.3962486,1.3306468,4.045464,0.98852855,-0.9996024,3.5504198,26 Santiago Rodríguez,2016,train
-0.098433934,1.9512005,-1.1564308,-0.60630906,-2.4076104,2.3670883,26 Santiago Rodríguez,2017,train
-5.188622,1.0345,-1.3184191,0.22658218,-4.288822,1.0426812,26 Santiago Rodríguez,2018,train
-0.56075054,-0.24634017,2.0561962,-1.0392709,-3.1697347,-0.753406,26 Santiago Rodríguez,2019,train
-0.91148025,1.398653,1.5764581,-0.018993622,-1.6452934,4.8248563,26 Santiago Rodríguez,2020,val
-2.7570746,1.8191092,-0.9914584,-0.96989924,-3.2921796,3.4574702,26 Santiago Rodríguez,2021,val
-1.2048864,-0.5368775,5.3283677,3.2526944,-0.43684062,0.08169955,27 Valverde,2015,train
2.54911,1.6600906,3.6402295,1.9552803,-0.066137314,4.0777316,27 Valverde,2016,train
0.28435016,1.6767671,-0.2221235,0.5501321,-2.1406507,0.51952934,27 Valverde,2017,train
-2.4029152,1.793451,0.41214445,2.298958,-3.519436,-1.4820298,27 Valverde,2018,train
-0.577348,-0.044584054,2.1717982,0.09897303,-2.548015,-1.0673156,27 Valverde,2019,train
-0.6836334,1.3795006,0.6815335,0.026158897,-1.5503035,4.851845,27 Valverde,2020,val
-2.4256687,1.7554946,0.02620849,1.1003523,-1.8704038,2.6877165,27 Valverde,2021,val
-2.469137,0.08126408,3.1870704,-0.42771572,2.616912,-0.33964247,28 Monseñor Nouel,2015,train
1.0364398,2.3346379,2.2309005,-1.4701341,3.0908144,2.4766757,28 Monseñor Nouel,2016,train
-1.1011217,3.141772,0.1587392,-1.2375821,2.4321299,0.7460163,28 Monseñor Nouel,2017,train
-5.258382,2.56554,-1.1419203,-1.1607603,2.6348658,0.92386967,28 Monseñor Nouel,2018,train
-1.6190773,0.6886401,1.6084142,-2.0815654,0.93174946,-0.6314582,28 Monseñor Nouel,2019,train
-0.03964355,2.5189536,0.8774649,-2.0151103,2.430585,1.5424204,28 Monseñor Nouel,2020,val
-2.828623,2.7534387,-0.15835482,-1.4252377,2.2496133,1.2070167,28 Monseñor Nouel,2021,val
-1.9214454,-1.2719216,1.4091537,-0.5568729,1.7225136,0.0064875027,29 Monte Plata,2015,train
2.7389817,0.03734986,0.26608327,-3.633065,0.91451836,0.8950311,29 Monte Plata,2016,train
0.19676556,2.0300207,-1.5304612,-2.3923914,0.39814314,2.0029874,29 Monte Plata,2017,train
-4.8981752,0.7717364,-3.7914817,-2.8255851,-0.038148917,0.19754308,29 Monte Plata,2018,train
-0.5159865,-0.6982956,0.6193816,-2.3990936,-0.24878229,-1.2487534,29 Monte Plata,2019,train
1.3379105,1.3698357,0.47850502,-1.7663047,0.8459794,1.6864405,29 Monte Plata,2020,val
-1.0351491,1.8585441,-0.93187857,-1.5624852,-0.3554793,-0.8537974,29 Monte Plata,2021,val
-0.73616153,-1.7324829,0.7936381,0.35685283,1.20573,-0.32156006,30 Hato Mayor,2015,train
2.7649534,-0.61251175,0.004557555,-1.1308441,1.9410472,2.5565698,30 Hato Mayor,2016,train
0.6646302,0.99880755,-2.2169304,-1.2285061,-0.47594342,2.2931077,30 Hato Mayor,2017,train
-3.305075,0.32667348,-3.4326422,-0.3765803,-1.0316406,-0.5431495,30 Hato Mayor,2018,train
-0.51655686,-1.2744782,-0.106178954,-1.630183,-0.3916759,0.0011674225,30 Hato Mayor,2019,train
1.1818022,0.086530045,-1.5482869,-1.4125459,0.07933987,3.890307,30 Hato Mayor,2020,val
-0.43246043,0.4238753,-3.595874,-2.3805957,-3.4960704,-1.3421311,30 Hato Mayor,2021,val
-1.89501,0.4760787,2.1097367,0.8520405,1.723324,-0.50642484,31 San José de Ocoa,2015,train
1.9734845,2.14995,0.98881364,-2.4883173,0.80763096,2.36292,31 San José de Ocoa,2016,train
-0.63757455,3.7056687,0.37737256,0.39723355,0.50486803,1.7929002,31 San José de Ocoa,2017,train
-3.2114146,3.3883858,0.8562811,2.0399952,0.19919269,-0.8686625,31 San José de Ocoa,2018,train
-1.1307962,1.0302386,1.567483,-1.2271322,-0.099942006,-0.5460184,31 San José de Ocoa,2019,train
0.2606569,3.0630176,1.1148546,-0.46777564,1.3824713,1.7322252,31 San José de Ocoa,2020,val
-1.6252712,3.70531,-0.12540437,-0.6960431,-0.23567346,-0.2290002,31 San José de Ocoa,2021,val
0.79467535,-0.3471745,2.223662,2.0972753,1.7988611,-5.194322,32 Santo Domingo,2015,train
5.002944,0.5505469,0.88374203,-0.21880229,1.7129453,-4.1782937,32 Santo Domingo,2016,train
3.0354578,2.5084395,-1.4326471,0.97442526,1.300615,-3.6607492,32 Santo Domingo,2017,train
0.6635431,1.7806797,-1.587933,2.313353,1.4552128,-6.0166807,32 Santo Domingo,2018,train
1.6256043,-0.14910679,0.4849964,-0.17267467,0.64924383,-5.387417,32 Santo Domingo,2019,train
4.103428,1.8913018,-0.33207008,1.3537886,1.5994258,-4.0407023,32 Santo Domingo,2020,val
2.2285976,2.0852625,-1.230707,1.5620881,1.1276033,-5.3800497,32 Santo Domingo,2021,val
