z1,z2,province,year,split
-0.09395611,27.086884,22 San Juan,2020,val
-0.12842166,27.648447,22 San Juan,2021,val
0.2321676,21.77323,23 San Pedro de Macorís,2015,train
0.1308291,23.424381,23 San Pedro de Macorís,2016,train
0.22762823,21.847202,23 San Pedro de Macorís,2017,train
0.173666,22.726421,23 San Pedro de Macorís,2018,train
0.27821982,21.022888,23 San Pedro de Macorís,2019,train
0.23107445,21.791056,23 San Pedro de Macorís,2020,val
0.21612465,22.034634,23 San Pedro de Macorís,2021,val
-0.48993385,33.538643,24 Sánchez Ramírez,2015,train
-0.5687269,34.822456,24 Sánchez Ramírez,2016,train
-0.5734683,34.899704,24 Sánchez Ramírez,2017,train
-0.5890986,35.154377,24 Sánchez Ramírez,2018,train
-0.47616875,33.31436,24 Sánchez Ramírez,2019,train
-0.50716937,33.819473,24 Sánchez Ramírez,2020,val
-0.49365604,33.59932,24 Sánchez Ramírez,2021,val
-0.15109968,28.017925,25 Santiago,2015,train
-0.26461458,29.867468,25 Santiago,2016,train
-0.3255458,30.860233,25 Santiago,2017,train
-0.30165648,30.470995,25 Santiago,2018,train
-0.17532015,28.412546,25 Santiago,2019,train
-0.30778205,30.570805,25 Santiago,2020,val
-0.3343048,31.002949,25 Santiago,2021,val
0.3378502,20.051317,26 Santiago Rodríguez,2015,train
0.180794,22.610298,26 Santiago Rodríguez,2016,train
0.27864468,21.01598,26 Santiago Rodríguez,2017,train
0.39215827,19.166481,26 Santiago Rodríguez,2018,train
0.40546727,18.949608,26 Santiago Rodríguez,2019,train
0.40309298,18.988325,26 Santiago Rodríguez,2020,val
0.37086618,19.5134,26 Santiago Rodríguez,2021,val
0.31711876,20.38911,27 Valverde,2015,train
0.1531713,23.060366,27 Valverde,2016,train
0.222152,21.936436,27 Valverde,2017,train
0.2924682,20.790747,27 Valverde,2018,train
0.34672296,19.906744,27 Valverde,2019,train
0.34108114,19.998695,27 Valverde,2020,val
0.27919614,21.007008,27 Valverde,2021,val
-0.39990985,32.071857,28 Monseñor Nouel,2015,train
-0.48920417,33.526768,28 Monseñor Nouel,2016,train
-0.45996523,33.05037,28 Monseñor Nouel,2017,train
-0.4567666,32.998253,28 Monseñor Nouel,2018,train
-0.37276077,31.62951,28 Monseñor Nouel,2019,train
-0.4474566,32.846565,28 Monseñor Nouel,2020,val
-0.44294965,32.77314,28 Monseñor Nouel,2021,val
-0.27248895,29.995749,29 Monte Plata,2015,train
-0.36862373,31.562107,29 Monte Plata,2016,train
-0.28638482,30.222168,29 Monte Plata,2017,train
-0.29503775,30.36316,29 Monte Plata,2018,train
-0.21200275,29.01023,29 Monte Plata,2019,train
-0.2699045,29.953651,29 Monte Plata,2020,val
-0.28295386,30.166271,29 Monte Plata,2021,val
-0.078936934,26.842144,30 Hato Mayor,2015,train
-0.18013942,28.491085,30 Hato Mayor,2016,train
-0.0047848225,25.633978,30 Hato Mayor,2017,train
-0.032311797,26.082483,30 Hato Mayor,2018,train
0.034585834,24.992493,30 Hato Mayor,2019,train
0.0027394295,25.511385,30 Hato Mayor,2020,val
0.0012425184,25.535778,30 Hato Mayor,2021,val
-0.30711925,30.559994,31 San José de Ocoa,2015,train
-0.3973012,32.029366,31 San José de Ocoa,2016,train
-0.22348726,29.197374,31 San José de Ocoa,2017,train
-0.23254406,29.344936,31 San José de Ocoa,2018,train
-0.21514475,29.061434,31 San José de Ocoa,2019,train
-0.29448712,30.354195,31 San José de Ocoa,2020,val
-0.28162694,30.144659,31 San José de Ocoa,2021,val
-0.1539272,28.063984,32 Santo Domingo,2015,train
-0.25292957,29.677073,32 Santo Domingo,2016,train
-0.23933864,29.455627,32 Santo Domingo,2017,train
-0.3025639,30.485777,32 Santo Domingo,2018,train
-0.18847549,28.62689,32 Santo Domingo,2019,train
-0.2282784,29.27542,32 Santo Domingo,2020,val
-0.2580322,29.760214,32 Santo Domingo,2021,val
