z1,z2,z3,z4,z5,z6,z7,z8,province,year,split
-1.1338663,0.48516405,0.800281,-0.0020930544,0.5744873,-0.9344588,-0.06271273,1.0868376,25 Santiago,2021,val
1.5037044,-0.0063496563,-0.6832006,0.48259473,0.76884395,0.37569478,1.2645211,1.2448632,26 Santiago Rodríguez,2015,train
2.283465,0.20240593,0.38467115,-0.31772098,0.2829693,-1.2038404,-0.54171,0.43862686,26 Santiago Rodríguez,2016,train
-0.18061043,0.028195485,-1.0299307,-0.19352302,-0.06818013,-1.3350834,-1.2876955,-0.20231989,26 Santiago Rodríguez,2017,train
-0.15571593,2.342621,-1.5545728,1.3818531,1.7939789,-0.30307642,1.0360224,0.70814997,26 Santiago Rodríguez,2018,train
0.5700618,-0.85655206,-0.7901766,-0.8579715,0.23399447,-0.89284533,0.2518523,1.4050033,26 Santiago Rodríguez,2019,train
1.5662693,1.5997698,-0.7767521,1.298175,0.6498725,-0.41871986,-0.56719553,0.53926826,26 Santiago Rodríguez,2020,val
0.5907108,1.3593948,-1.6293653,1.1924593,0.7670027,-0.32769525,-0.93209416,0.68105614,26 Santiago Rodríguez,2021,val
1.791076,-0.26075628,-0.27366766,0.9372538,0.91702133,0.46893042,1.4017497,0.93861914,27 Valverde,2015,train
2.220038,0.29823485,0.6460768,0.19654699,0.2593447,-1.1544237,-0.55226266,0.06524206,27 Valverde,2016,train
-0.34374845,-0.5055352,0.02056658,-0.6363146,0.34789428,-2.0215228,-0.38959268,0.04454482,27 Valverde,2017,train
-0.39080563,0.48427358,-0.80058783,0.67723614,1.0076644,-0.67961895,1.0597078,0.7294917,27 Valverde,2018,train
0.5757168,-0.7394111,-0.47798073,-0.13837011,0.47987133,-0.77540386,0.8184268,0.89592975,27 Valverde,2019,train
1.5407073,1.2520487,-0.60229015,1.4175874,0.5922047,-0.3957554,-0.593653,0.12615415,27 Valverde,2020,val
0.33695278,1.2764637,-0.52572745,0.93704,1.0682701,-0.6095469,0.13845548,0.49727857,27 Valverde,2021,val
0.2238478,-0.3505802,0.44459513,1.133764,-0.592937,1.3570374,0.11599591,1.2743443,28 Monseñor Nouel,2015,train
0.54867285,0.5551159,1.0594002,0.8183742,-1.1477668,0.22979559,-0.89373815,0.55710346,28 Monseñor Nouel,2016,train
-1.360371,0.3892227,0.95416534,0.49920887,-1.2588382,-0.47004807,-0.9024849,0.91203856,28 Monseñor Nouel,2017,train
-1.3835521,0.54713184,-0.42386875,1.8036082,-0.5988912,0.98044014,-1.0653614,0.8103501,28 Monseñor Nouel,2018,train
-0.77230823,-0.47937492,0.2899267,0.14253978,-1.0405594,0.34919146,-0.36626217,1.3374552,28 Monseñor Nouel,2019,train
-0.5507529,0.4609058,1.0379748,0.39464515,-1.0086997,0.013054412,-1.2732495,0.81141615,28 Monseñor Nouel,2020,val
-1.2433773,0.5340487,0.30371606,0.9658648,-0.6197868,-0.0119604925,-0.9038653,1.0082301,28 Monseñor Nouel,2021,val
0.14940774,0.40422803,-0.20891635,0.23166394,-0.023421856,1.3625382,0.22215283,0.4364463,29 Monte Plata,2015,train
0.68502796,0.07618233,0.6361291,-0.8708015,-1.0355718,0.14841491,-1.2270601,-0.14708254,29 Monte Plata,2016,train
-0.16947839,1.1192166,-0.0054954435,0.028675249,-0.12906453,-0.1412785,-1.2266046,0.08637772,29 Monte Plata,2017,train
-1.0749137,2.0906785,-1.4719622,0.51251644,0.5957606,1.253341,-0.95191264,0.48902968,29 Monte Plata,2018,train
-0.26827395,-0.36942387,-0.0015335173,-1.1702663,-0.24270771,0.056666054,-0.2745031,0.79525745,29 Monte Plata,2019,train
0.3538053,0.80074656,0.6232592,-0.252309,0.20793076,-0.28142843,-0.78100157,0.22003953,29 Monte Plata,2020,val
-0.8343068,0.7849702,-0.06599341,-0.37944973,0.286714,-0.4241999,-0.3989959,0.6633866,29 Monte Plata,2021,val
0.33613184,-0.20228297,0.023044243,0.22572143,0.27759624,1.0482291,0.5803225,-0.27344483,30 Hato Mayor,2015,train
0.89349276,-0.17994145,0.7419738,-0.2988219,-0.1559797,0.095738746,-0.6679918,-0.68014514,30 Hato Mayor,2016,train
0.09015052,0.47216368,-0.23291916,0.041288298,0.10034836,-0.21962282,-1.0363108,-0.54093134,30 Hato Mayor,2017,train
-1.0326445,1.1407181,-1.1372824,0.33853248,0.73964924,0.39955387,0.040430162,-0.15893246,30 Hato Mayor,2018,train
-0.027569827,-0.48557678,-0.3179212,-0.83020294,0.21764056,0.20267203,-0.18749557,0.2207594,30 Hato Mayor,2019,train
0.9374893,0.38941786,-0.0969258,0.20767018,0.165118,0.16145413,-1.2705772,-0.5596032,30 Hato Mayor,2020,val
-0.79860055,0.72529507,-0.108452626,-0.78226453,1.1596835,-1.4499373,0.63089603,-0.5940356,30 Hato Mayor,2021,val
-0.49005762,-0.690429,-0.07993157,1.2091312,-0.34942743,0.88228166,0.7212748,0.6137913,31 San José de Ocoa,2015,train
1.1392239,-0.93626285,0.77026623,1.3714635,-1.1929365,-0.052139267,-1.9906672,-0.40830955,31 San José de Ocoa,2016,train
-0.36225396,-0.29621315,0.72944504,1.6388302,0.11913305,-1.2895927,-1.2446784,0.2868241,31 San José de Ocoa,2017,train
-1.5768139,-0.61688226,-0.36298642,1.8142151,0.21572018,-0.5744381,0.048437145,0.90467125,31 San José de Ocoa,2018,train
-0.44754985,-2.0776846,0.20228809,1.1546559,-0.21185902,-0.5291295,-0.65209687,1.052615,31 San José de Ocoa,2019,train
0.02764223,-0.41438243,1.0243909,1.1775707,-0.23855674,-0.73987925,-1.2785386,0.4464921,31 San José de Ocoa,2020,val
-1.366512,-0.46397078,0.11152145,1.1961784,-0.18341464,-0.7754792,-1.1088716,0.8879941,31 San José de Ocoa,2021,val
-1.1206374,-0.4555892,1.2902914,-0.3412499,0.57428473,0.41500777,1.9779583,0.34909427,32 Santo Domingo,2015,train
-0.06450911,-0.6776209,2.58005,-1.6506913,-0.26359656,-1.3306904,0.12533428,-0.2550451,32 Santo Domingo,2016,train
-1.3155135,0.4682074,2.2408834,-0.5198153,0.5245852,-1.3281053,0.5070189,-0.7676661,32 Santo Domingo,2017,train
-2.5122166,-0.08664856,1.2647274,-0.27186424,0.6622803,-0.37824464,1.3309057,-0.38936788,32 Santo Domingo,2018,train
-1.4948632,-1.1743233,1.6056883,-1.2799978,0.2038702,-0.44063467,1.0552257,0.38886252,32 Santo Domingo,2019,train
-0.719876,0.13220908,2.5267656,-0.8303776,0.694663,-1.3383752,0.46657875,-0.5223047,32 Santo Domingo,2020,val
-2.1619081,-0.04141546,1.9019297,-0.7532858,0.58750284,-1.1569383,0.9608582,-0.27269477,32 Santo Domingo,2021,val
