trial,val_r2,val_mse,hidden_dims,monotone,pre_bottleneck,shallow_decoder,use_batchnorm,scheduler,optimizer,clip_norm,lr,dropout,weight_decay,batch_size,activation,mse_weight,n_params,epochs
156,0.8594,0.015078,"[2048, 2048, 1024]",True,8.0,False,True,plateau,adam,0.0,0.000796,0.429,1.6e-06,128,elu,0.456,19234530,394
181,0.8554,0.015502,"[256, 256, 128]",True,128.0,False,False,plateau,adam,0.0,0.000488,0.064,1.89e-05,32,elu,0.585,1059410,417
106,0.8536,0.015693,"[2048, 2048, 512]",True,128.0,True,True,none,adamw,0.0,0.000581,0.22,3e-07,128,elu,0.769,8636058,1000
99,0.8509,0.015985,"[2048, 1024, 256]",True,8.0,False,True,plateau,adamw,0.0,0.001429,0.302,3e-07,128,elu,0.449,11347170,311
9,0.8498,0.016106,"[2048, 1024, 512, 512]",True,32.0,False,False,none,adamw,0.0,0.003638,0.161,0.0002735,32,leakyrelu,0.219,12412946,469
160,0.8376,0.017409,"[2048, 2048, 1024, 512, 128]",True,16.0,False,True,plateau,adam,0.0,0.000583,0.43,4.6e-06,128,relu,0.546,20405874,360
11,0.8364,0.017536,"[256, 128, 2048, 128, 256]",False,32.0,False,True,none,adam,1.0,0.000311,0.0,7.73e-05,64,elu,0.373,2040466,747
177,0.8325,0.017952,"[128, 1024, 128]",False,64.0,True,True,plateau,adamw,0.0,0.000699,0.03,3.52e-05,128,elu,0.508,492378,1000
5,0.8309,0.018124,"[2048, 1024]",False,8.0,False,False,cosine_wr,adamw,5.0,0.002195,0.342,1e-07,64,relu,0.533,10821314,475
40,0.8179,0.019524,[1024],False,8.0,True,False,cosine_wr,adam,5.0,0.002918,0.221,7e-07,128,selu,0.566,1671250,1000
8,0.7982,0.021633,"[2048, 2048]",True,,True,True,plateau,adam,0.0,0.001861,0.066,0.0007715,32,leakyrelu,0.603,7531546,221
59,0.7938,0.022102,"[2048, 2048, 1024, 128]",True,128.0,True,True,plateau,adamw,0.0,0.000402,0.205,2e-07,128,elu,0.329,9768474,690
44,0.7909,0.022418,"[1024, 1024]",False,32.0,False,False,plateau,adamw,1.0,0.001562,0.293,4e-07,128,elu,0.41,5470226,218
3,0.7904,0.022474,[1024],True,32.0,False,False,cosine_wr,adam,1.0,0.000144,0.247,0.0018705,128,selu,0.635,3371026,500
4,0.7891,0.022612,"[2048, 2048]",False,16.0,False,False,cosine_wr,adam,0.0,0.000766,0.106,0.0034227,32,relu,0.773,15066930,286
89,0.7781,0.023791,"[1024, 1024, 512, 256]",True,16.0,True,True,plateau,adam,0.0,0.000195,0.228,1.08e-05,128,elu,0.509,3378602,1000
121,0.7769,0.023923,"[2048, 2048, 1024, 512]",True,64.0,True,True,plateau,adam,0.0,0.000739,0.211,0.00024,128,elu,0.289,10178650,472
7,0.7726,0.024384,[1024],True,64.0,True,False,plateau,adam,0.0,8.2e-05,0.166,1.2e-06,128,elu,0.838,1728986,1000
47,0.6213,0.040598,"[2048, 1024]",True,8.0,True,True,plateau,adamw,5.0,6.8e-05,0.083,2e-06,64,elu,0.449,5427298,1000
127,0.6197,0.040772,"[256, 512, 2048]",False,64.0,False,True,none,adam,1.0,0.000679,0.19,0.0003958,128,elu,0.241,3466450,378
