z1,z2,z3,province,year,split
-0.18793558,-1.6962731,-1.6787966,07 Elías Piña,2022,test
0.5816807,-1.4517069,-1.528873,07 Elías Piña,2023,test
1.9782087,1.6366321,2.757739,08 El Seibo,2015,train
-1.5348657,-0.09150991,2.6101727,08 El Seibo,2016,train
-1.1631922,-2.2391896,0.27501142,08 El Seibo,2017,train
0.10030283,-0.7733079,0.42153215,08 El Seibo,2018,train
1.0318547,0.38837716,1.2670802,08 El Seibo,2019,train
-1.1049294,-1.2136405,1.1579278,08 El Seibo,2020,val
-0.71174216,-1.9113108,0.13921608,08 El Seibo,2021,val
-0.5738275,-1.0593381,0.45597374,08 El Seibo,2022,test
0.1237192,-0.928574,0.5454584,08 El Seibo,2023,test
1.8682123,3.332504,2.2848382,09 Espaillat,2015,train
-1.6818898,1.2506928,1.6981457,09 Espaillat,2016,train
-1.4748884,-0.01917721,0.25513422,09 Espaillat,2017,train
-0.16902104,0.46365273,0.31423804,09 Espaillat,2018,train
0.6986345,1.509545,1.1138695,09 Espaillat,2019,train
-1.273039,0.31073594,0.8951548,09 Espaillat,2020,val
-0.72183466,0.31046972,0.18364823,09 Espaillat,2021,val
-0.4057057,0.60076946,0.43661752,09 Espaillat,2022,test
-0.019390821,0.19550845,0.2058011,09 Espaillat,2023,test
2.7183318,-0.36664027,0.6946196,10 Independencia,2015,train
-1.1833705,-1.8251815,0.9137498,10 Independencia,2016,train
-0.9043158,-4.434706,-0.8659822,10 Independencia,2017,train
1.0123483,-3.019527,-1.0196885,10 Independencia,2018,train
1.9253494,-0.7808785,0.127756,10 Independencia,2019,train
-0.521142,-2.7428873,-0.13825585,10 Independencia,2020,val
0.0141706765,-2.5868425,-0.6645633,10 Independencia,2021,val
-0.1517288,-3.0141459,-0.7785835,10 Independencia,2022,test
0.92719394,-2.1749992,-0.29430223,10 Independencia,2023,test
1.9925712,1.8398516,3.6641972,11 La Altagracia,2015,train
-1.1796762,-0.031215005,3.4763436,11 La Altagracia,2016,train
-0.9913825,-1.4813753,1.0391024,11 La Altagracia,2017,train
0.26529688,-0.38671306,1.1401675,11 La Altagracia,2018,train
1.0581259,0.7461784,2.120345,11 La Altagracia,2019,train
-1.0055875,-1.0349624,1.7819198,11 La Altagracia,2020,val
-0.31532413,-0.81527865,1.0899343,11 La Altagracia,2021,val
-0.6183246,-0.90223855,1.0472953,11 La Altagracia,2022,test
0.0785272,-0.62882155,1.3091024,11 La Altagracia,2023,test
2.4497697,1.1740005,2.374163,12 La Romana,2015,train
-1.1092993,-0.6279832,2.1628013,12 La Romana,2016,train
-1.1628424,-1.770446,0.72335786,12 La Romana,2017,train
0.20372249,-0.80610114,0.6299863,12 La Romana,2018,train
1.0992746,0.5768962,1.6900479,12 La Romana,2019,train
-1.0670769,-1.1653296,1.4652641,12 La Romana,2020,val
-0.3063581,-0.93457806,0.645987,12 La Romana,2021,val
-0.7468631,-0.9949951,0.70242566,12 La Romana,2022,test
0.035164744,-0.8061823,0.99723196,12 La Romana,2023,test
1.9040688,2.4493055,-0.563852,13 La Vega,2015,train
-2.0340626,0.5140557,-1.0816516,13 La Vega,2016,train
-1.7256956,0.25564894,-1.6075393,13 La Vega,2017,train
-0.48675245,0.56066364,-1.241892,13 La Vega,2018,train
