z1,z2,z3,province,year,split
-3.0675886,4.884042,2.4273484,13 La Vega,2015,train
0.7662914,0.059581254,2.392016,13 La Vega,2016,train
1.1147418,1.0967604,1.6486498,13 La Vega,2017,train
0.78193873,2.0176647,1.2757927,13 La Vega,2018,train
-1.4313532,2.5759354,2.0762165,13 La Vega,2019,train
0.98306626,0.27559286,1.806789,13 La Vega,2020,val
0.49445552,1.3925123,1.6658258,13 La Vega,2021,val
-0.50667095,1.7546489,2.2817602,13 La Vega,2022,test
-1.0617237,1.6728292,1.9751107,13 La Vega,2023,test
0.6552542,3.9862413,-1.8007486,14 María Trinidad Sánchez,2015,train
3.9181058,-0.6684177,0.42680973,14 María Trinidad Sánchez,2016,train
4.200925,-0.11288056,-0.6028617,14 María Trinidad Sánchez,2017,train
4.3198724,2.0255053,-2.09353,14 María Trinidad Sánchez,2018,train
1.1246567,2.3719602,-1.3135508,14 María Trinidad Sánchez,2019,train
3.893775,-0.4713369,-0.09701747,14 María Trinidad Sánchez,2020,val
3.3501792,1.1443996,-0.89239264,14 María Trinidad Sánchez,2021,val
2.0655386,1.2108613,-0.4415322,14 María Trinidad Sánchez,2022,test
1.053672,1.0397698,-0.6456024,14 María Trinidad Sánchez,2023,test
-2.082042,-0.32365447,-8.263379,15 Monte Cristi,2015,train
2.8038118,-4.830833,-2.9155653,15 Monte Cristi,2016,train
2.2002406,-3.1220136,-4.019666,15 Monte Cristi,2017,train
0.6118981,-2.3318906,-5.533608,15 Monte Cristi,2018,train
-0.42878026,-0.48736143,-5.1039886,15 Monte Cristi,2019,train
1.8133055,-4.1350317,-3.1377208,15 Monte Cristi,2020,val
0.7940369,-2.7375216,-4.009352,15 Monte Cristi,2021,val
0.5820951,-1.9765044,-4.1934524,15 Monte Cristi,2022,test
0.2547106,-1.1049784,-4.6662927,15 Monte Cristi,2023,test
-4.6917543,-0.68357027,-6.433974,16 Pedernales,2015,train
1.3826098,-4.9854174,-1.6206523,16 Pedernales,2016,train
-1.493975,-5.216567,-2.8149989,16 Pedernales,2017,train
-3.5289447,-3.6543622,-3.1672602,16 Pedernales,2018,train
-2.4088402,-0.49589115,-3.1230063,16 Pedernales,2019,train
0.44675738,-4.1919055,-1.798199,16 Pedernales,2020,val
-1.9706625,-4.6381497,-2.8069172,16 Pedernales,2021,val
-0.6439557,-2.8397129,-2.1108987,16 Pedernales,2022,test
-1.874993,-1.9739867,-2.9752097,16 Pedernales,2023,test
-0.9111527,3.057795,-1.5160028,17 Peravia,2015,train
1.8898383,-1.089032,0.69094294,17 Peravia,2016,train
0.6010171,-0.44613236,0.15359029,17 Peravia,2017,train
0.2759774,0.10357522,-0.47105056,17 Peravia,2018,train
-0.7384337,1.3999273,-0.6375952,17 Peravia,2019,train
1.3077074,-1.416843,0.4528184,17 Peravia,2020,val
0.32866824,-0.083890826,-0.14526545,17 Peravia,2021,val
0.3574894,-0.13411815,0.18500783,17 Peravia,2022,test
-0.17657198,0.21058996,-0.08219023,17 Peravia,2023,test
0.46185488,2.9892588,-5.010256,18 Puerto Plata,2015,train
3.9793272,-2.137451,-0.9930546,18 Puerto Plata,2016,train
3.8286102,-0.97262925,-2.2145848,18 Puerto Plata,2017,train
3.2177415,0.11565223,-3.5586858,18 Puerto Plata,2018,train
0.7321324,1.3420247,-2.774444,18 Puerto Plata,2019,train
3.5494275,-1.5851798,-1.3385417,18 Puerto Plata,2020,val
2.6079595,-0.094043076,-2.05612,18 Puerto Plata,2021,val
2.129377,0.24823767,-2.305713,18 Puerto Plata,2022,test
0.9257355,0.38686502,-2.2777174,18 Puerto Plata,2023,test
-1.9827205,4.5643153,1.0021261,19 Hermanas Mirabal,2015,train
1.7373912,-0.5547669,1.5363271,19 Hermanas Mirabal,2016,train
1.8574594,0.570388,0.8385975,19 Hermanas Mirabal,2017,train
1.574327,1.765905,0.41245705,19 Hermanas Mirabal,2018,train
-0.62796915,2.1065655,0.91797894,19 Hermanas Mirabal,2019,train
1.5777123,-0.26124406,0.9968589,19 Hermanas Mirabal,2020,val
1.1628368,0.8296783,0.7655135,19 Hermanas Mirabal,2021,val
0.26529822,1.2046844,1.192206,19 Hermanas Mirabal,2022,test
-0.27307945,1.0584271,0.91886836,19 Hermanas Mirabal,2023,test
0.87898695,3.4871757,-3.523131,20 Samaná,2015,train
4.243582,-1.4235511,-0.40577698,20 Samaná,2016,train
3.8326678,-0.21201049,-1.1081995,20 Samaná,2017,train
3.697756,1.2987372,-2.1629224,20 Samaná,2018,train
1.2467474,2.0268862,-1.9027995,20 Samaná,2019,train
3.6834362,-1.2387352,-0.6149527,20 Samaná,2020,val
2.7691631,0.45738387,-1.2683066,20 Samaná,2021,val
2.34035,0.6818681,-0.87358665,20 Samaná,2022,test
1.2896525,0.8687776,-1.319701,20 Samaná,2023,test
-0.50550705,4.924775,0.3559454,21 San Cristóbal,2015,train
3.3172677,-0.113688305,1.6113168,21 San Cristóbal,2016,train
2.9526427,0.79041976,0.80939513,21 San Cristóbal,2017,train
3.1525016,2.6890924,-0.079988316,21 San Cristóbal,2018,train
0.54728675,3.3700182,0.28784555,21 San Cristóbal,2019,train
3.6118681,-0.15574355,1.0353913,21 San Cristóbal,2020,val
2.4975839,1.7811478,0.5855962,21 San Cristóbal,2021,val
2.1716707,1.5929526,1.1655244,21 San Cristóbal,2022,test
0.936933,1.8223025,0.6623641,21 San Cristóbal,2023,test
-2.5611627,3.4819083,1.9339031,22 San Juan,2015,train
0.8266939,-0.27726382,1.9224743,22 San Juan,2016,train
-0.8321265,0.16782835,1.8653584,22 San Juan,2017,train
-1.325731,0.7095963,1.5982848,22 San Juan,2018,train
-1.8037848,1.9732544,1.939077,22 San Juan,2019,train
-0.3769685,-0.065055355,1.9214422,22 San Juan,2020,val
-0.43401593,0.6058369,1.4308873,22 San Juan,2021,val
-0.7776294,1.0820594,1.9051591,22 San Juan,2022,test
-1.206271,1.3256484,1.7930003,22 San Juan,2023,test
-0.028085351,1.9747183,-4.788492,23 San Pedro de Macorís,2015,train
3.5031075,-2.5944238,-0.9747462,23 San Pedro de Macorís,2016,train
1.3931955,-1.1445508,-1.047915,23 San Pedro de Macorís,2017,train
1.03141,-0.2803982,-1.9747629,23 San Pedro de Macorís,2018,train
-0.3575248,0.86956507,-2.0705318,23 San Pedro de Macorís,2019,train
2.089131,-2.3809032,-0.7025267,23 San Pedro de Macorís,2020,val
1.0252599,-0.8389233,-1.4506518,23 San Pedro de Macorís,2021,val
1.1583958,-0.8736933,-0.96541023,23 San Pedro de Macorís,2022,test
0.33210972,-0.4168728,-1.6500912,23 San Pedro de Macorís,2023,test
-1.4318942,4.641013,1.4501874,24 Sánchez Ramírez,2015,train
2.060113,-0.015488207,1.7689184,24 Sánchez Ramírez,2016,train
2.1729863,0.9116805,1.0196506,24 Sánchez Ramírez,2017,train
1.7366225,2.1140878,0.57923883,24 Sánchez Ramírez,2018,train
-0.45409632,2.5680943,1.1662775,24 Sánchez Ramírez,2019,train
2.0958714,-0.042158097,1.2012532,24 Sánchez Ramírez,2020,val
1.2123541,1.1290634,1.0452086,24 Sánchez Ramírez,2021,val
0.48169577,1.5492041,1.4380046,24 Sánchez Ramírez,2022,test
-0.15444084,1.3936672,1.0542178,24 Sánchez Ramírez,2023,test
-3.702969,6.1653366,3.4234738,25 Santiago,2015,train
0.94012994,0.27908966,3.2695074,25 Santiago,2016,train
0.95611537,1.8443158,2.4134977,25 Santiago,2017,train
0.3778122,2.6866074,2.2335455,25 Santiago,2018,train
-2.127117,3.5356967,3.262526,25 Santiago,2019,train
0.8607568,1.1625808,2.9862533,25 Santiago,2020,val
0.5762147,2.480188,2.7015164,25 Santiago,2021,val
-0.5015371,2.786313,3.2171183,25 Santiago,2022,test
-1.1592118,2.7967794,2.9995327,25 Santiago,2023,test
-5.161841,2.2767391,0.69028944,26 Santiago Rodríguez,2015,train
0.30211285,-2.0018072,1.2824017,26 Santiago Rodríguez,2016,train
-0.41321236,-0.8362153,0.51295364,26 Santiago Rodríguez,2017,train
-2.3150752,-1.0077657,0.3240062,26 Santiago Rodríguez,2018,train
-2.7591805,0.8307352,0.43329853,26 Santiago Rodríguez,2019,train
-1.202054,-1.3923205,1.0020534,26 Santiago Rodríguez,2020,val
-1.3884854,-0.8077867,0.482688,26 Santiago Rodríguez,2021,val
-1.3233038,-0.20412935,0.69933355,26 Santiago Rodríguez,2022,test
-1.771858,0.26984513,0.4306978,26 Santiago Rodríguez,2023,test
-5.3371415,2.5908265,0.4316563,27 Valverde,2015,train
0.71882045,-2.3701396,1.2976512,27 Valverde,2016,train
-0.31034362,-0.5230811,0.48400438,27 Valverde,2017,train
-1.347866,-0.36073077,0.19738884,27 Valverde,2018,train
-2.957178,1.1006163,0.53356904,27 Valverde,2019,train
-0.7653803,-1.5704764,0.9393606,27 Valverde,2020,val
-1.0069633,-0.56695825,0.45811516,27 Valverde,2021,val
-1.0022638,0.045021735,0.5987712,27 Valverde,2022,test
-1.6867998,0.17326075,0.49578547,27 Valverde,2023,test
-1.7551156,4.398621,1.4806905,28 Monseñor Nouel,2015,train
1.6428319,-0.14700969,1.8044662,28 Monseñor Nouel,2016,train
1.3406099,0.8584975,1.3471208,28 Monseñor Nouel,2017,train
1.3056818,1.6774728,0.65364754,28 Monseñor Nouel,2018,train
-0.84350467,2.4767878,1.3899033,28 Monseñor Nouel,2019,train
1.6702431,0.10614295,1.3405746,28 Monseñor Nouel,2020,val
0.81321466,1.1943035,1.2698623,28 Monseñor Nouel,2021,val
0.26147953,1.7129035,1.7735406,28 Monseñor Nouel,2022,test
-0.47600108,1.3751397,1.4201514,28 Monseñor Nouel,2023,test
-0.77841175,3.5475357,-0.08887446,29 Monte Plata,2015,train
2.8292143,-0.6916122,1.0076064,29 Monte Plata,2016,train
1.3189011,0.100934155,0.7838899,29 Monte Plata,2017,train
1.1627322,1.0380268,0.08791505,29 Monte Plata,2018,train
-0.7144112,1.8645372,0.59984416,29 Monte Plata,2019,train
1.283598,-0.6301036,1.0526979,29 Monte Plata,2020,val
0.57430947,0.48687226,0.7073439,29 Monte Plata,2021,val
0.39539507,0.67475057,0.8984379,29 Monte Plata,2022,test
-0.27400577,0.78975445,0.60973525,29 Monte Plata,2023,test
-0.08885534,2.7234821,-2.1942706,30 Hato Mayor,2015,train
2.859829,-1.52065,0.13069397,30 Hato Mayor,2016,train
1.0448455,-0.6276527,-0.14490783,30 Hato Mayor,2017,train
0.38881385,-0.016443193,-0.5731971,30 Hato Mayor,2018,train
-0.5150478,0.94097,-0.7099154,30 Hato Mayor,2019,train
1.3938477,-1.4298558,0.23120753,30 Hato Mayor,2020,val
0.1266826,-0.7105942,-0.055995345,30 Hato Mayor,2021,val
0.3902607,-0.19890697,0.13860929,30 Hato Mayor,2022,test
-0.23384543,0.032543637,-0.35144144,30 Hato Mayor,2023,test
-1.2255062,4.0791054,0.9469038,31 San José de Ocoa,2015,train
1.8694474,-0.56061006,1.5481106,31 San José de Ocoa,2016,train
0.20497532,0.48739666,1.3378842,31 San José de Ocoa,2017,train
0.013840228,1.1742774,1.177351,31 San José de Ocoa,2018,train
-1.0899154,2.2585273,1.556678,31 San José de Ocoa,2019,train
0.84958696,0.035566412,1.4726368,31 San José de Ocoa,2020,val
0.25770497,0.6524449,1.0891666,31 San José de Ocoa,2021,val
-0.12537639,1.0756873,1.6112272,31 San José de Ocoa,2022,test
-0.39471716,1.0956589,1.3996706,31 San José de Ocoa,2023,test
-1.4883213,9.850348,5.58875,32 Santo Domingo,2015,train
3.5453327,3.6869087,5.6698904,32 Santo Domingo,2016,train
3.2995982,4.6655684,5.20465,32 Santo Domingo,2017,train
3.050508,7.065585,4.4831505,32 Santo Domingo,2018,train
-0.41295397,8.1714,5.904673,32 Santo Domingo,2019,train
3.379501,3.8377225,5.406355,32 Santo Domingo,2020,val
2.5666826,6.09393,5.3321686,32 Santo Domingo,2021,val
2.4391997,5.8877215,5.899219,32 Santo Domingo,2022,test
0.72614956,6.976613,5.9362817,32 Santo Domingo,2023,test
