z1,z2,z3,province,year,split
3.557708,-1.6031811,-0.087809026,29 Monte Plata,2020,val
1.0052743,-1.5487014,-0.75447595,29 Monte Plata,2021,val
-0.79093313,0.85168433,1.0298235,30 Hato Mayor,2015,train
4.546762,0.63166505,2.2553585,30 Hato Mayor,2016,train
3.06254,-1.0380437,-1.2572455,30 Hato Mayor,2017,train
0.6347579,-0.33799204,-0.7890408,30 Hato Mayor,2018,train
-0.45052773,0.19625051,-0.11545643,30 Hato Mayor,2019,train
4.2838516,-0.5252164,-0.78687096,30 Hato Mayor,2020,val
1.609533,-0.9705946,-1.6310482,30 Hato Mayor,2021,val
-1.5667881,-0.28664637,1.0650743,31 San José de Ocoa,2015,train
4.2973843,-1.5858188,1.8256758,31 San José de Ocoa,2016,train
1.9898936,-2.596308,-1.0382352,31 San José de Ocoa,2017,train
-0.20351426,-1.5250171,-0.5335698,31 San José de Ocoa,2018,train
-1.2479212,-1.037946,0.012249559,31 San José de Ocoa,2019,train
2.7946963,-2.1194205,0.17412199,31 San José de Ocoa,2020,val
0.8738881,-1.936902,-0.874079,31 San José de Ocoa,2021,val
-2.6834362,-2.2991383,4.199503,32 Santo Domingo,2015,train
1.6070282,-3.5045826,8.173815,32 Santo Domingo,2016,train
0.16979173,-5.070557,4.8277555,32 Santo Domingo,2017,train
-1.307308,-3.8440182,4.072192,32 Santo Domingo,2018,train
-2.2298183,-3.22552,4.1368146,32 Santo Domingo,2019,train
1.0703281,-4.6856437,5.662557,32 Santo Domingo,2020,val
-0.9625002,-4.632663,4.1383038,32 Santo Domingo,2021,val
