z1,z2,z3,z4,z5,province,year,split
0.0915955,1.5729795,0.031434998,0.7680142,1.2528777,22 San Juan,2017,train
-1.0413533,0.87011623,-0.15096356,1.1940274,0.4147902,22 San Juan,2018,train
-0.5696991,1.5388516,1.0128834,-0.19102597,-0.6161164,22 San Juan,2019,train
0.175769,1.8523359,-0.092198595,0.00763808,0.8623509,22 San Juan,2020,val
-0.17885846,1.1594238,-0.064666286,1.4666952,0.67859316,22 San Juan,2021,val
-0.74017256,-1.233486,-0.53337866,-0.71133643,-0.72684205,23 San Pedro de Macorís,2015,train
1.1234373,-0.059157982,-0.44229007,-1.5165186,0.68899417,23 San Pedro de Macorís,2016,train
0.81627953,-0.31538454,0.01816029,0.045148022,0.7984619,23 San Pedro de Macorís,2017,train
-0.006915655,-1.2734822,-0.18615788,0.90628713,0.29450983,23 San Pedro de Macorís,2018,train
-0.074649,-0.4393717,0.6650747,-0.604638,-0.39559427,23 San Pedro de Macorís,2019,train
1.1281224,-0.3067308,0.18053386,-0.6314188,1.5184734,23 San Pedro de Macorís,2020,val
0.5235127,-0.7836795,0.099441685,0.4497006,0.81254965,23 San Pedro de Macorís,2021,val
-1.1583711,0.7637142,-0.6133627,0.01600705,-2.0908468,24 Sánchez Ramírez,2015,train
1.1788924,2.0191293,-0.51125467,-0.4892138,-0.019056085,24 Sánchez Ramírez,2016,train
1.3175554,1.374948,-0.020781752,1.0054268,-0.18152057,24 Sánchez Ramírez,2017,train
-0.05211159,0.17001063,-0.44583333,2.3115292,-0.7731007,24 Sánchez Ramírez,2018,train
-0.05753825,1.0318261,0.36306447,0.18922858,-1.3748678,24 Sánchez Ramírez,2019,train
1.2736259,1.6362488,0.18340135,0.14246172,0.047489334,24 Sánchez Ramírez,2020,val
0.6125174,0.34028172,0.6526957,2.1473796,-0.36454263,24 Sánchez Ramírez,2021,val
-1.9044582,0.50311273,-1.5528944,-0.3628867,-1.0442902,25 Santiago,2015,train
0.506576,1.7993063,-1.4208199,-0.89701396,1.1525587,25 Santiago,2016,train
0.53098184,1.1951245,-1.0881637,0.9567537,0.44101432,25 Santiago,2017,train
-0.74879616,0.5306202,-1.3927486,1.6292659,-0.11099314,25 Santiago,2018,train
-0.6603664,1.1381716,0.12684917,-0.12909947,-0.71271694,25 Santiago,2019,train
0.30233774,1.4901435,-1.3745749,0.044513244,0.4974157,25 Santiago,2020,val
-0.10850735,0.9616995,-1.3572737,1.2344849,0.15342905,25 Santiago,2021,val
-2.1729863,0.022220086,-0.04633881,-1.0302554,-0.119184025,26 Santiago Rodríguez,2015,train
0.36500153,1.4205165,0.21211651,-1.7346419,1.7244115,26 Santiago Rodríguez,2016,train
0.51693714,0.7309077,0.85694987,0.23732115,1.5237355,26 Santiago Rodríguez,2017,train
-1.4032551,-0.6340505,0.91710085,1.1867013,1.4007009,26 Santiago Rodríguez,2018,train
-0.9056575,0.6500839,1.4546847,-0.8276589,0.1549319,26 Santiago Rodríguez,2019,train
-0.309246,0.6837384,0.5112895,-0.38318998,1.8039603,26 Santiago Rodríguez,2020,val
-0.37253025,0.24334998,1.02875,0.67784953,1.6494082,26 Santiago Rodríguez,2021,val
-2.1694808,-0.15030323,-0.45752826,-1.0109172,-0.2745457,27 Valverde,2015,train
0.51265806,1.3348501,-0.22848845,-1.6966875,1.8452853,27 Valverde,2016,train
0.15427038,0.48185515,0.20869552,0.13461784,1.0261624,27 Valverde,2017,train
