z1,z2,z3,z4,z5,z6,z7,z8,z9,province,year,split
0.3697197,-0.6871706,0.15012504,1.0128459,0.25542197,-0.21741505,-1.3783401,1.1827395,-2.0518687,10 Independencia,2019,train
0.32502452,-0.28134438,0.30420116,0.4108926,0.7046846,0.07952295,-2.479654,-0.0797799,-0.18288809,10 Independencia,2020,val
0.31511554,-1.9762859,0.8875711,0.35868287,0.7127202,-0.017746052,-1.6479359,-0.049385913,-0.6460428,10 Independencia,2021,val
0.7607063,-0.15052292,-0.3622017,0.9305321,-0.8707444,-0.22291195,-0.55537003,1.4662056,0.80987227,11 La Altagracia,2015,train
1.076799,0.061217643,1.7526345,1.1554979,-0.4706638,-0.05527729,-0.8257964,1.4129554,0.57283777,11 La Altagracia,2016,train
0.030058395,-0.84030265,0.9526487,0.7565115,-0.086413644,0.28266335,-1.2153144,-0.9518344,1.976797,11 La Altagracia,2017,train
0.48346713,-1.1372924,0.35662374,1.288312,0.7429793,-1.4294645,-0.5837763,0.104823224,1.661865,11 La Altagracia,2018,train
0.6706057,-0.71451324,0.012770545,2.1401312,-0.15361106,0.28140905,0.07708705,0.60587966,0.7464976,11 La Altagracia,2019,train
0.9113374,-0.8653803,1.2823762,1.2221805,-0.13743848,0.3364234,-1.0228246,-0.018590478,0.9796437,11 La Altagracia,2020,val
0.29723978,-1.9640063,1.1520739,0.87173927,0.42971298,0.24262734,-0.7341662,0.29816058,0.90317005,11 La Altagracia,2021,val
0.67443347,-0.30708617,-0.6532446,0.48237205,-0.80227804,0.121636175,-0.77847755,1.0541036,0.073038645,12 La Romana,2015,train
0.83965945,0.42883182,0.7039507,0.391155,-0.14082736,0.7472876,-1.434892,0.55593807,0.9624687,12 La Romana,2016,train
-1.3269895,0.09512084,0.77486557,0.15211153,0.030056493,-0.6913291,-1.9298105,-0.5659203,1.4771736,12 La Romana,2017,train
0.1691754,-1.2542614,0.75534326,-0.060974337,-0.1010515,-1.47702,-1.0072812,0.17850034,0.69265693,12 La Romana,2018,train
-0.26757133,-0.5528151,-0.40431303,1.5695386,-0.22075872,0.5317242,-0.27565116,0.74740475,0.3545836,12 La Romana,2019,train
0.24185783,-0.64306474,0.8911257,0.71696,-0.48144224,0.9157331,-1.3008043,0.11156681,0.44932634,12 La Romana,2020,val
-0.30842027,-1.6509743,0.6067429,0.3726838,0.38629633,0.46654907,-1.0983249,0.41526386,0.7571537,12 La Romana,2021,val
1.623878,0.5049281,-0.9459687,-1.1024609,-1.1353245,-0.17366111,1.3919315,-0.44958594,-1.5580484,13 La Vega,2015,train
1.2954186,0.62969524,1.205977,-1.1758265,-0.43153915,0.9599673,0.42596528,-0.9158193,-1.3903068,13 La Vega,2016,train
-0.40121362,-0.24485312,1.0622628,-1.0058789,0.85036916,0.2569389,1.0497967,-0.8225404,-0.5866448,13 La Vega,2017,train
0.31389925,-0.6505329,-0.1057135,-1.4323661,0.09165765,-0.7320861,1.4088802,-1.0905167,-0.3572196,13 La Vega,2018,train
0.34288305,0.12500416,-0.37861893,-0.2977236,0.56706923,-0.34212518,1.3162982,-0.2658159,-1.3906668,13 La Vega,2019,train
0.330542,0.35972992,0.66643274,-0.9737738,0.035004824,0.08819452,1.1290699,-1.4613234,-0.6955997,13 La Vega,2020,val
-0.010660084,-0.10346734,0.38391453,-1.5032791,0.6530755,0.0022624729,0.9424449,-1.1965408,-0.04604781,13 La Vega,2021,val
0.34386137,0.5709683,-0.9686684,-0.010001124,-0.9008994,-0.16052237,0.8231929,0.7090698,0.4565062,14 María Trinidad Sánchez,2015,train
0.235492,0.7249036,0.8787346,-0.39393383,-0.32606864,0.516487,0.21769868,0.5572824,0.24290639,14 María Trinidad Sánchez,2016,train
-1.6316892,0.6109086,1.1002586,0.8179947,0.4477486,-0.84007126,0.68476844,-0.779945,1.3500495,14 María Trinidad Sánchez,2017,train
-0.7174446,-0.18992229,0.61344975,-0.6266485,0.08481642,-1.8642178,1.056471,0.5827438,1.0386779,14 María Trinidad Sánchez,2018,train
-0.4789508,0.39620957,-0.25698793,0.76205033,-0.29961592,0.072799295,1.0600356,0.70631176,0.43628657,14 María Trinidad Sánchez,2019,train
-0.5538378,0.28644788,0.8867323,-0.19326358,-0.17799322,0.19790298,0.48900455,0.55796766,0.54380304,14 María Trinidad Sánchez,2020,val
-1.197703,-0.30513063,0.9856799,-0.3306436,0.6179093,-0.71916443,0.5392366,0.6384223,0.7157288,14 María Trinidad Sánchez,2021,val
0.5555546,-0.43333912,-0.8672891,1.1047575,-2.3323486,-0.029958948,-1.259991,1.0216279,-0.10859941,15 Monte Cristi,2015,train
0.67959434,0.030711913,0.7086022,0.49143296,-1.5753994,0.9994007,-2.118353,0.57697445,0.0007661261,15 Monte Cristi,2016,train
-1.4377421,-1.5970473,0.6192844,1.7079605,-0.49278,-0.09833517,-1.5726633,-0.2815635,0.56013614,15 Monte Cristi,2017,train
-0.65670633,-1.8261464,-0.5661509,0.8179726,-0.5987297,-0.41559473,-1.6030341,0.28658366,1.2984523,15 Monte Cristi,2018,train
-0.16954748,-1.199158,-0.33014324,1.7847074,-0.7711465,0.5230899,-1.3622377,0.97427595,0.0030959519,15 Monte Cristi,2019,train
-0.6486292,-0.40069678,0.008537217,1.1663617,-0.43605855,-0.40384877,-2.3018653,-0.032345884,0.7507945,15 Monte Cristi,2020,val
-0.44629547,-1.4863684,0.14282642,0.46837538,-0.28138015,0.16080013,-2.018852,-0.16863742,1.3774413,15 Monte Cristi,2021,val
1.7215655,-0.69190866,-0.41492045,1.021284,-0.91059273,-0.43851995,-1.9533699,1.4776607,-0.80017436,16 Pedernales,2015,train
1.2520446,0.54342514,0.71668285,1.1709548,0.02777933,-0.47331116,-2.963501,0.6765556,0.11283758,16 Pedernales,2016,train
0.2494543,-1.0390449,1.5805078,1.2287229,-0.28355202,-1.2269479,-2.6277137,-0.93409026,-0.4338643,16 Pedernales,2017,train
1.8052316,-2.3151147,0.91096747,0.4312539,-0.5150166,-0.5546982,-2.0532901,-0.2537767,-0.4214196,16 Pedernales,2018,train
0.5058241,-0.46989974,-0.0077090645,2.8048043,-0.21672547,-0.760772,-1.8225378,0.6028466,-1.3981094,16 Pedernales,2019,train
0.6535159,-0.7718475,0.9346499,1.9234847,0.39385775,-0.29150984,-2.1223547,0.3587901,-0.5417587,16 Pedernales,2020,val
0.9195519,-2.0593162,1.6428882,0.14457798,-0.2232943,-0.27091467,-2.1513727,-0.17316772,-0.7698505,16 Pedernales,2021,val
0.23026174,0.6886313,-0.82713956,-0.95254016,-0.6778363,-0.4381307,-0.1790059,1.0690348,-0.54344803,17 Peravia,2015,train
0.6049681,0.9997137,0.6411927,-0.86518496,-0.2754545,0.749805,-0.5273205,1.024039,-0.5031989,17 Peravia,2016,train
-1.8915945,-0.3860259,0.4306592,-0.48889157,0.09732514,0.42138714,-1.1490332,-0.19136311,-0.21454501,17 Peravia,2017,train
-1.3944596,-0.047387317,-0.23829672,-2.0642805,-0.07763716,-1.0422194,-1.3511571,0.19960693,1.1344078,17 Peravia,2018,train
-1.1120534,0.16404954,-0.64786214,0.503287,-0.27491617,0.26745197,-0.07489679,0.7094851,-0.6832326,17 Peravia,2019,train
-1.0116931,0.86181176,0.211495,-0.74993074,0.06549054,-0.13291088,-1.5156318,-0.30482265,0.42719656,17 Peravia,2020,val
-1.1769205,-0.75044495,0.23431587,-0.9588255,0.10278234,0.24984942,-0.7971443,0.37457293,0.0043142526,17 Peravia,2021,val
0.57581455,0.2830128,-0.82513994,0.21455069,-2.1801758,-0.1273982,0.34699306,0.95016307,0.4215862,18 Puerto Plata,2015,train
0.21293505,0.4230838,0.71356785,-0.27143252,-1.1323185,0.6434909,-0.6476634,0.7367071,0.21599194,18 Puerto Plata,2016,train
-1.911105,-0.8930365,1.0247504,1.0586276,-0.412267,-0.23439981,0.40517205,-0.45692137,1.1477722,18 Puerto Plata,2017,train
-0.08719755,-0.910708,-0.006178752,-0.5197168,-1.4347813,-1.3501672,0.39747673,-0.5274184,1.8977519,18 Puerto Plata,2018,train
-0.35879242,-0.3649262,-0.31790882,0.4996388,-0.60848945,0.1617234,0.19529456,0.8714154,0.41914544,18 Puerto Plata,2019,train
-0.30285424,-0.30027443,0.6933218,-0.111038975,-0.7843464,0.18887556,0.021624925,0.18976215,0.7949735,18 Puerto Plata,2020,val
-0.8560055,-1.0419543,0.51997656,-0.20498583,-0.48599634,0.264574,-0.03763128,-0.1803541,1.2699816,18 Puerto Plata,2021,val
