z1,z2,z3,z4,z5,z6,z7,province,year,week,split
-0.11602394,-4.6411276,-0.18281959,6.7953877,8.318248,7.5273848,-4.6972456,01 Distrito Nacional,2016,48,train
0.9030376,-7.0438304,0.82527536,5.159148,9.18447,8.172995,-8.669411,01 Distrito Nacional,2016,49,train
0.35013372,-6.0523148,0.24583355,5.4481397,9.298221,6.540501,-6.8567753,01 Distrito Nacional,2016,50,train
5.6244016,-8.880283,1.0161556,4.475353,11.657407,8.539984,-6.2039967,01 Distrito Nacional,2016,51,train
-7.6009636,-1.5021023,-6.4429364,11.498667,13.437272,1.464659,-8.601983,01 Distrito Nacional,2016,52,train
-4.751129,-1.8602169,-7.458971,11.760576,9.209528,2.5576117,-9.363954,01 Distrito Nacional,2017,1,train
-9.284132,-0.66451603,-11.006997,19.132826,9.525158,-3.515023,-20.163795,01 Distrito Nacional,2017,2,train
-3.035959,0.050424844,-17.929909,23.268225,5.7379813,-0.42641178,-17.86946,01 Distrito Nacional,2017,3,train
-0.6799256,-1.4002737,-12.734843,19.23432,4.1869493,-0.68579155,-14.018654,01 Distrito Nacional,2017,4,train
5.2544837,-4.7272916,-3.072484,9.969486,3.1371176,4.9861355,-6.716118,01 Distrito Nacional,2017,5,train
6.7458453,-5.5509167,-4.779894,9.299949,5.0629306,2.3529847,-5.5245385,01 Distrito Nacional,2017,6,train
8.826528,-5.309979,-6.7386947,10.67805,6.1088147,0.8001263,-6.182939,01 Distrito Nacional,2017,7,train
8.758377,-5.6673417,-6.772454,12.305905,1.6149881,0.9285699,-8.797895,01 Distrito Nacional,2017,8,train
6.415798,-6.4747267,-2.8976774,11.167251,-2.3650057,1.9739045,-8.002503,01 Distrito Nacional,2017,9,train
12.447694,-4.976598,3.3497612,16.357414,0.58359,4.3697176,-7.568219,01 Distrito Nacional,2017,10,train
9.706632,-2.324568,-5.8433056,16.21338,2.7887318,-1.639877,-8.040152,01 Distrito Nacional,2017,11,train
8.276711,-2.093228,-3.6625736,17.276005,0.3773255,2.437144,-3.6384482,01 Distrito Nacional,2017,12,train
8.469583,-3.1131105,-5.3905616,16.50561,-2.6785133,-3.2308671,-8.2573805,01 Distrito Nacional,2017,13,train
5.7577286,-5.0650544,-3.2403324,10.551956,-1.1514541,-4.000385,-4.08534,01 Distrito Nacional,2017,14,train
5.8797584,-7.7529354,-0.39534467,11.185264,-8.778784,-0.5260418,-6.2851515,01 Distrito Nacional,2017,15,train
4.934841,5.878625,-11.614287,13.220139,9.6386795,5.1333265,12.52539,01 Distrito Nacional,2017,16,train
4.2068605,0.10512904,-5.957543,11.3540745,15.382466,-0.07943333,12.2299385,01 Distrito Nacional,2017,17,train
5.5721498,-6.5788856,1.7010573,6.1618876,0.6815474,2.5012157,9.1293,01 Distrito Nacional,2017,18,train
3.8781161,-4.6689076,1.6087321,7.302068,-4.1723704,2.5144258,5.8073063,01 Distrito Nacional,2017,19,train
3.894736,-3.816914,5.6222377,7.9061475,1.6091907,1.8499856,6.4936256,01 Distrito Nacional,2017,20,train
1.6905478,-5.240559,4.218767,6.367527,-1.8891388,-1.0147411,4.30523,01 Distrito Nacional,2017,21,train
2.7543921,-5.0121,5.882487,6.807697,-1.802898,3.0741184,6.4793067,01 Distrito Nacional,2017,22,train
-0.45072165,-5.036603,2.804737,5.1952996,-1.0398444,-1.1658574,5.433899,01 Distrito Nacional,2017,23,train
-0.08521039,-5.4007626,3.8287334,4.967504,-5.1242414,3.336687,5.6151733,01 Distrito Nacional,2017,24,train
