z1,z2,province,year,week,split
-18.471373,-1.2089121,01 Distrito Nacional,2020,29,val
-18.434435,-0.8780206,01 Distrito Nacional,2020,30,val
-17.934145,-0.09329265,01 Distrito Nacional,2020,31,val
-19.125399,-0.581178,01 Distrito Nacional,2020,32,val
-18.414171,-0.63039154,01 Distrito Nacional,2020,33,val
-25.326338,15.264239,01 Distrito Nacional,2020,34,val
-6.3408875,2.8442366,01 Distrito Nacional,2020,35,val
-6.681056,3.689825,01 Distrito Nacional,2020,36,val
-6.473388,3.260691,01 Distrito Nacional,2020,37,val
-6.094432,3.101369,01 Distrito Nacional,2020,38,val
-5.9956255,3.1136124,01 Distrito Nacional,2020,39,val
-6.2860174,5.4438047,01 Distrito Nacional,2020,40,val
-5.673133,4.4172707,01 Distrito Nacional,2020,41,val
-5.8373117,5.5279393,01 Distrito Nacional,2020,42,val
-5.2661963,5.0449295,01 Distrito Nacional,2020,43,val
-5.4774737,5.9242234,01 Distrito Nacional,2020,44,val
-12.047373,14.8264265,01 Distrito Nacional,2020,45,val
-12.322191,15.505439,01 Distrito Nacional,2020,46,val
-4.643573,6.051805,01 Distrito Nacional,2020,47,val
-3.6034586,5.0591397,01 Distrito Nacional,2020,48,val
-2.9423819,4.6508613,01 Distrito Nacional,2020,49,val
10.082658,8.095492,01 Distrito Nacional,2020,50,val
10.183984,8.143989,01 Distrito Nacional,2020,51,val
-1.3294684,22.26295,01 Distrito Nacional,2020,52,val
0.022264432,22.841509,01 Distrito Nacional,2021,1,val
-0.46258625,22.404827,01 Distrito Nacional,2021,2,val
-0.7952924,21.462124,01 Distrito Nacional,2021,3,val
0.24443744,20.688868,01 Distrito Nacional,2021,4,val
11.048903,7.025023,01 Distrito Nacional,2021,5,val
10.961162,6.5167603,01 Distrito Nacional,2021,6,val
12.496487,4.799381,01 Distrito Nacional,2021,7,val
15.12136,4.196035,01 Distrito Nacional,2021,8,val
19.033484,0.49229875,01 Distrito Nacional,2021,9,val
15.820432,0.3389664,01 Distrito Nacional,2021,10,val
17.874826,1.036617,01 Distrito Nacional,2021,11,val
17.108356,-3.6646135,01 Distrito Nacional,2021,12,val
17.691368,-4.0944133,01 Distrito Nacional,2021,13,val
18.095371,-6.3626475,01 Distrito Nacional,2021,14,val
19.104395,-2.4150972,01 Distrito Nacional,2021,15,val
17.181217,-5.0765114,01 Distrito Nacional,2021,16,val
17.580318,-5.357565,01 Distrito Nacional,2021,17,val
8.370075,-15.489458,01 Distrito Nacional,2021,18,val
8.030668,-14.908066,01 Distrito Nacional,2021,19,val
7.382801,-14.521964,01 Distrito Nacional,2021,20,val
5.914539,-13.3033695,01 Distrito Nacional,2021,21,val
5.3089066,-12.669949,01 Distrito Nacional,2021,22,val
4.8478436,-12.458494,01 Distrito Nacional,2021,23,val
1.9027882,-10.159883,01 Distrito Nacional,2021,24,val
1.9808865,-10.306227,01 Distrito Nacional,2021,25,val
7.426372,-9.758686,01 Distrito Nacional,2021,26,val
-19.276842,-0.78059715,01 Distrito Nacional,2021,27,val
-19.57836,0.6157496,01 Distrito Nacional,2021,28,val
-19.468872,0.21743464,01 Distrito Nacional,2021,29,val
-20.010069,0.19804998,01 Distrito Nacional,2021,30,val
-20.000454,-0.0011994008,01 Distrito Nacional,2021,31,val
-21.966236,12.076018,01 Distrito Nacional,2021,32,val
-23.33063,13.038352,01 Distrito Nacional,2021,33,val
-16.99063,-1.8723099,01 Distrito Nacional,2021,34,val
-5.5816083,2.0020838,01 Distrito Nacional,2021,35,val
-6.0858755,2.7524798,01 Distrito Nacional,2021,36,val
-6.001617,2.8123765,01 Distrito Nacional,2021,37,val
-5.948726,2.7542176,01 Distrito Nacional,2021,38,val
-5.7151265,3.302285,01 Distrito Nacional,2021,39,val
-5.8232007,3.5828135,01 Distrito Nacional,2021,40,val
-5.837499,5.1333942,01 Distrito Nacional,2021,41,val
-5.441639,4.951038,01 Distrito Nacional,2021,42,val
-4.7575426,4.3366537,01 Distrito Nacional,2021,43,val
-4.584398,4.6749415,01 Distrito Nacional,2021,44,val
-3.8781102,4.006701,01 Distrito Nacional,2021,45,val
-3.0477674,3.7029238,01 Distrito Nacional,2021,46,val
-3.227285,4.110467,01 Distrito Nacional,2021,47,val
9.396618,7.6642523,01 Distrito Nacional,2021,48,val
9.250176,7.4974003,01 Distrito Nacional,2021,49,val
