z1,z2,z3,z4,province,year,week,split
3.6308439,9.257427,6.534518,11.413274,01 Distrito Nacional,2020,44,val
10.553488,-2.132752,-8.794206,11.203899,01 Distrito Nacional,2020,45,val
10.985333,-3.5014052,-10.100871,11.517713,01 Distrito Nacional,2020,46,val
1.3475748,6.0374126,8.304562,14.012561,01 Distrito Nacional,2020,47,val
4.6171865,3.458901,6.5916576,14.1324625,01 Distrito Nacional,2020,48,val
4.123781,2.1931171,4.9738994,15.333302,01 Distrito Nacional,2020,49,val
-3.9346812,-3.3769634,9.13202,14.809366,01 Distrito Nacional,2020,50,val
-3.1521814,-4.9181833,7.821812,14.23053,01 Distrito Nacional,2020,51,val
-9.573368,-1.8601489,11.742695,10.589789,01 Distrito Nacional,2020,52,val
-11.851067,-3.0383697,11.139028,11.831249,01 Distrito Nacional,2021,1,val
-9.752649,-3.484771,10.709137,11.555061,01 Distrito Nacional,2021,2,val
-9.748843,-4.07689,9.907095,10.798534,01 Distrito Nacional,2021,3,val
-11.349903,-5.4051275,8.337976,10.003347,01 Distrito Nacional,2021,4,val
-3.804955,-11.159186,-2.3637083,8.871901,01 Distrito Nacional,2021,5,val
-5.1038857,-11.694478,-2.4235852,7.523574,01 Distrito Nacional,2021,6,val
-5.424602,-12.078089,-4.5689235,6.438352,01 Distrito Nacional,2021,7,val
-7.995436,-12.748655,-5.2950935,5.530906,01 Distrito Nacional,2021,8,val
-7.284249,-13.363877,-8.040291,4.8629146,01 Distrito Nacional,2021,9,val
-5.600482,-13.12521,-8.988613,3.4442997,01 Distrito Nacional,2021,10,val
-8.631296,-14.413464,-9.71853,2.004037,01 Distrito Nacional,2021,11,val
-3.744321,-11.851634,-11.77311,-0.09415115,01 Distrito Nacional,2021,12,val
-3.4779463,-11.148308,-13.5155525,-2.749423,01 Distrito Nacional,2021,13,val
-1.8857217,-11.55494,-12.88266,-2.004555,01 Distrito Nacional,2021,14,val
-5.703116,-12.25528,-13.819829,-6.904749,01 Distrito Nacional,2021,15,val
-0.59075207,-9.8348675,-12.524477,-6.4174256,01 Distrito Nacional,2021,16,val
-0.1454108,-9.865856,-12.457419,-7.138404,01 Distrito Nacional,2021,17,val
-1.4363716,-3.16289,-15.857488,-2.4040096,01 Distrito Nacional,2021,18,val
-0.578242,-2.4697223,-14.646637,-2.7906034,01 Distrito Nacional,2021,19,val
-0.1486516,-1.1624548,-14.956527,-2.2391305,01 Distrito Nacional,2021,20,val
0.44147086,0.4551732,-14.166786,-2.686954,01 Distrito Nacional,2021,21,val
