z1,z2,z3,z4,z5,z6,z7,z8,province,year,week,split
-9.441419,0.60415804,5.3697295,-3.6027324,1.1887068,1.3449762,8.076078,-8.5226,01 Distrito Nacional,2016,32,train
-9.582627,-1.7407985,4.022534,-1.9204165,3.1819217,-0.008581486,9.872386,-7.628875,01 Distrito Nacional,2016,33,train
-10.454687,3.5007071,9.477665,-8.789654,2.6194384,3.6982243,2.3593848,-6.5492916,01 Distrito Nacional,2016,34,train
-3.8918395,0.52120936,2.060995,0.6358503,2.4788053,3.802424,0.20524359,-7.8161545,01 Distrito Nacional,2016,35,train
-3.9356632,4.5842156,6.6217747,-2.928967,6.149907,7.852043,0.3472467,-9.071182,01 Distrito Nacional,2016,36,train
-4.2296176,5.024753,6.479831,0.74016106,5.1257963,6.9524984,0.6134251,-9.649543,01 Distrito Nacional,2016,37,train
-3.632065,5.2444463,6.498125,0.45056808,4.323903,7.4719863,-0.18303008,-10.414517,01 Distrito Nacional,2016,38,train
-5.1454387,5.526138,8.285219,-1.4315583,5.2931623,8.548555,0.32044503,-7.707252,01 Distrito Nacional,2016,39,train
1.2863934,2.9193778,-1.2371727,-16.24718,-3.3855698,0.43713185,-3.589904,-12.953675,01 Distrito Nacional,2016,40,train
-6.0181217,3.2665675,1.2245704,-0.13607624,-5.6977186,4.526318,-2.5761395,-7.647395,01 Distrito Nacional,2016,41,train
-8.5894,3.2121725,5.209616,-1.7171849,-5.3124895,5.42916,-2.7285671,-5.127066,01 Distrito Nacional,2016,42,train
-5.539393,4.0356545,2.92375,0.52014995,-5.0446367,4.5493636,-1.1758437,-4.9047713,01 Distrito Nacional,2016,43,train
-6.6499395,5.635969,4.582992,-1.1159489,-5.3873415,3.980177,-2.3246424,-4.521264,01 Distrito Nacional,2016,44,train
-5.663634,6.3429494,5.5738993,-1.1521804,-5.78475,4.48399,-1.9202734,-4.432378,01 Distrito Nacional,2016,45,train
-6.9705877,8.560858,7.506737,-3.8573198,-6.588423,4.8951793,-3.2918344,-4.180393,01 Distrito Nacional,2016,46,train
-7.403009,12.114858,10.382689,-6.3447556,-5.155595,4.1966543,-2.8848138,0.6364727,01 Distrito Nacional,2016,47,train
-0.2408279,10.069008,1.5016307,0.30289307,-5.3965597,3.8974674,3.5018353,-4.5386744,01 Distrito Nacional,2016,48,train
-0.48008388,12.12492,3.7540996,1.8232828,-5.637181,4.1716347,3.842346,-2.7800448,01 Distrito Nacional,2016,49,train
-0.24323766,11.195325,3.301646,2.072451,-5.5752482,4.000296,3.3439162,-3.5828812,01 Distrito Nacional,2016,50,train
-1.4462025,15.735531,6.1902695,3.9636796,-8.176394,2.4476058,2.5047088,-4.079997,01 Distrito Nacional,2016,51,train
-5.5064535,11.397402,5.055193,-3.049012,-6.6654625,-0.64977485,12.0905285,-5.249945,01 Distrito Nacional,2016,52,train
-3.6160612,9.340206,3.6573782,-3.7783184,-3.4843333,-1.1567966,11.902201,-2.6010697,01 Distrito Nacional,2017,1,train
-2.9812891,14.318882,8.402273,-0.0806661,-2.9808915,-1.802085,12.283009,2.346324,01 Distrito Nacional,2017,2,train
-2.835815,12.784131,7.190366,-4.1700544,1.4898376,-6.3671174,13.513994,2.6790543,01 Distrito Nacional,2017,3,train
-1.76582,8.530427,4.814368,-2.619345,2.1447654,-4.2067165,12.785502,-0.066813275,01 Distrito Nacional,2017,4,train
3.41773,10.092446,2.8049529,2.3940666,0.33943126,0.5871976,4.8621554,-2.034364,01 Distrito Nacional,2017,5,train
4.2566037,9.698031,2.6781142,4.274364,-0.82100564,-1.1281557,5.154273,-3.6239436,01 Distrito Nacional,2017,6,train
5.1786222,9.96938,3.2274237,5.1268005,0.41751343,-2.4147606,4.9674597,-4.0943103,01 Distrito Nacional,2017,7,train
